tiempo (s);Potencia (W)
108,92;32,740085
108,93;32,758784
108,94;32,849444
108,95;32,976626
108,96;33,107787
108,97;33,225097
108,98;33,316463
108,99;33,368396
109;33,370892
109,01;33,326687
109,02;33,253353
109,03;33,169664
109,04;33,081179
109,05;32,982406
109,06;32,869639
109,07;32,747313
109,08;32,622592
109,09;32,50823
109,1;32,430703
109,11;32,423504
109,12;32,509924
109,13;32,682028
109,14;32,895184
109,15;33,092405
109,16;33,236408
109,17;33,318613
109,18;33,342682
109,19;33,31571
109,2;33,255168
109,21;33,190866
109,22;33,15467
109,23;33,15999
109,24;33,194581
109,25;33,238081
109,26;33,281053
109,27;33,32713
109,28;33,375778
109,29;33,411388
109,3;33,416319
109,31;33,385582
109,32;33,325173
109,33;33,236987
109,34;33,112962
109,35;32,948124
109,36;32,751241
109,37;32,54168
109,38;32,338992
109,39;32,159168
109,4;32,01597
109,41;31,920143
109,42;31,876717
109,43;31,873529
109,44;31,881968
109,45;31,879598
109,46;31,864704
109,47;31,852998
109,48;31,862365
109,49;31,90347
109,5;31,981219
109,51;32,09178
109,52;32,21943
109,53;32,336544
109,54;32,414814
109,55;32,442953
109,56;32,430267
109,57;32,396855
109,58;32,357078
109,59;32,317508
109,6;32,285187
109,61;32,265801
109,62;32,262126
109,63;32,270043
109,64;32,280154
109,65;32,29005
109,66;32,308672
109,67;32,349807
109,68;32,414333
109,69;32,484568
109,7;32,541248
109,71;32,5766
109,72;32,594228
109,73;32,597003
109,74;32,582826
109,75;32,555104
109,76;32,529558
109,77;32,528796
109,78;32,562832
109,79;32,62282
109,8;32,694948
109,81;32,769757
109,82;32,840241
109,83;32,891913
109,84;32,909027
109,85;32,894262
109,86;32,870732
109,87;32,864555
109,88;32,883259
109,89;32,915481
109,9;32,948204
109,91;32,979025
109,92;33,016534
109,93;33,065574
109,94;33,121643
109,95;33,180495
109,96;33,242942
109,97;33,312128
109,98;33,380637
109,99;33,429428
110;33,444291
110,01;33,422867
110,02;33,371643
110,03;33,296047
110,04;33,198479
110,05;33,089068
110,06;32,989429
110,07;32,925125
110,08;32,906551
110,09;32,923389
110,1;32,96267
110,11;33,02076
110,12;33,097886
110,13;33,179492
110,14;33,234594
110,15;33,237921
110,16;33,183599
110,17;33,081537
110,18;32,94121
110,19;32,768855
110,2;32,582064
110,21;32,41319
110,22;32,296596
110,23;32,246956
110,24;32,254643
110,25;32,300756
110,26;32,370134
110,27;32,457816
110,28;32,5581
110,29;32,654856
110,3;32,730175
110,31;32,775002
110,32;32,791126
110,33;32,776894
110,34;32,721553
110,35;32,620906
110,36;32,490355
110,37;32,361031
110,38;32,255616
110,39;32,179886
110,4;32,141181
110,41;32,158181
110,42;32,24865
110,43;32,402007
110,44;32,574898
110,45;32,720897
110,46;32,815261
110,47;32,852187
110,48;32,828899
110,49;32,750148
110,5;32,63854
110,51;32,530099
110,52;32,463542
110,53;32,458846
110,54;32,509391
110,55;32,59739
110,56;32,709305
110,57;32,838611
110,58;32,972462
110,59;33,090304
110,6;33,176356
110,61;33,224759
110,62;33,24005
110,63;33,228371
110,64;33,193684
110,65;33,143974
110,66;33,09222
110,67;33,053503
110,68;33,03612
110,69;33,041465
110,7;33,071487
110,71;33,126038
110,72;33,197234
110,73;33,263584
110,74;33,297424
110,75;33,284261
110,76;33,232787
110,77;33,16688
110,78;33,101235
110,79;33,03692
110,8;32,978222
110,81;32,936537
110,82;32,92013
110,83;32,918245
110,84;32,905785
110,85;32,867194
110,86;32,807786
110,87;32,743508
110,88;32,677638
110,89;32,600312
110,9;32,51037
110,91;32,42405
110,92;32,363009
110,93;32,332965
110,94;32,326096
110,95;32,343683
110,96;32,401456
110,97;32,512445
110,98;32,663493
110,99;32,817483
111;32,937776
111,01;33,003495
111,02;33,010915
111,03;32,961557
111,04;32,859178
111,05;32,72394
111,06;32,596656
111,07;32,519487
111,08;32,507152
111,09;32,543671
111,1;32,601958
111,11;32,658939
111,12;32,696197
111,13;32,691131
111,14;32,625478
111,15;32,501276
111,16;32,34036
111,17;32,172353
111,18;32,014334
111,19;31,868275
111,2;31,739418
111,21;31,643213
111,22;31,596373
111,23;31,604475
111,24;31,663328
111,25;31,768427
111,26;31,913235
111,27;32,080909
111,28;32,241702
111,29;32,36546
111,3;32,438531
111,31;32,464435
111,32;32,449669
111,33;32,395958
111,34;32,313961
111,35;32,233163
111,36;32,186173
111,37;32,188672
111,38;32,235836
111,39;32,314084
111,4;32,408257
111,41;32,50158
111,42;32,578678
111,43;32,625051
111,44;32,631918
111,45;32,606493
111,46;32,569001
111,47;32,537192
111,48;32,51483
111,49;32,498288
111,5;32,49102
111,51;32,508538
111,52;32,564128
111,53;32,649168
111,54;32,740881
111,55;32,821694
111,56;32,8845
111,57;32,927141
111,58;32,940282
111,59;32,912743
111,6;32,854446
111,61;32,800497
111,62;32,788339
111,63;32,83516
111,64;32,938733
111,65;33,09077
111,66;33,280738
111,67;33,485098
111,68;33,66176
111,69;33,765795
111,7;33,770875
111,71;33,678829
111,72;33,511086
111,73;33,294419
111,74;33,056224
111,75;32,824858
111,76;32,631554
111,77;32,502435
111,78;32,444914
111,79;32,452746
111,8;32,519139
111,81;32,636904
111,82;32,785948
111,83;32,929036
111,84;33,027818
111,85;33,06085
111,86;33,02833
111,87;32,94092
111,88;32,811479
111,89;32,66237
111,9;32,529032
111,91;32,447607
111,92;32,43357
111,93;32,476585
111,94;32,557369
111,95;32,660849
111,96;32,775024
111,97;32,879981
111,98;32,948192
111,99;32,962537
112;32,926779
112,01;32,857654
112,02;32,766196
112,03;32,652195
112,04;32,517559
112,05;32,377002
112,06;32,256446
112,07;32,177621
112,08;32,148549
112,09;32,170112
112,1;32,239981
112,11;32,347929
112,12;32,466828
112,13;32,558036
112,14;32,595654
112,15;32,583821
112,16;32,553067
112,17;32,537579
112,18;32,556126
112,19;32,611844
112,2;32,700625
112,21;32,815868
112,22;32,93824
112,23;33,033215
112,24;33,073922
112,25;33,061548
112,26;33,01978
112,27;32,969884
112,28;32,920283
112,29;32,873956
112,3;32,835757
112,31;32,817427
112,32;32,827265
112,33;32,859004
112,34;32,900617
112,35;32,947675
112,36;33,002529
112,37;33,059074
112,38;33,101092
112,39;33,117709
112,4;33,11283
112,41;33,100364
112,42;33,085891
112,43;33,063573
112,44;33,033705
112,45;33,009654
112,46;33,00712
112,47;33,02529
112,48;33,049341
112,49;33,070203
112,5;33,088789
112,51;33,11009
112,52;33,129787
112,53;33,130976
112,54;33,102533
112,55;33,051134
112,56;32,995229
112,57;32,946363
112,58;32,903567
112,59;32,866703
112,6;32,843241
112,61;32,841694
112,62;32,853844
112,63;32,853428
112,64;32,819178
112,65;32,749903
112,66;32,662525
112,67;32,573702
112,68;32,488161
112,69;32,408435
112,7;32,342555
112,71;32,301073
112,72;32,286893
112,73;32,296927
112,74;32,334152
112,75;32,405791
112,76;32,511394
112,77;32,630035
112,78;32,724346
112,79;32,760795
112,8;32,727077
112,81;32,636659
112,82;32,511895
112,83;32,376872
112,84;32,267809
112,85;32,229387
112,86;32,295775
112,87;32,466926
112,88;32,706286
112,89;32,962143
112,9;33,188028
112,91;33,354031
112,92;33,440208
112,93;33,432304
112,94;33,333226
112,95;33,17008
112,96;32,986679
112,97;32,819672
112,98;32,68459
112,99;32,584918
113;32,522838
113,01;32,502836
113,02;32,526069
113,03;32,589149
113,04;32,687889
113,05;32,815304
113,06;32,95843
113,07;33,091022
113,08;33,179989
113,09;33,204765
113,1;33,165672
113,11;33,082795
113,12;32,980995
113,13;32,879923
113,14;32,800283
113,15;32,762036
113,16;32,773543
113,17;32,823909
113,18;32,890942
113,19;32,954737
113,2;33,00407
113,21;33,035976
113,22;33,042889
113,23;33,014218
113,24;32,95524
113,25;32,890051
113,26;32,847196
113,27;32,83833
113,28;32,8569
113,29;32,897512
113,3;32,961666
113,31;33,046616
113,32;33,132267
113,33;33,191598
113,34;33,214963
113,35;33,214547
113,36;33,211299
113,37;33,214619
113,38;33,219802
113,39;33,224825
113,4;33,238254
113,41;33,267185
113,42;33,292942
113,43;33,281326
113,44;33,217696
113,45;33,138012
113,46;33,109861
113,47;33,126061
113,48;33,102409
113,49;32,997385
113,5;32,867829
113,51;32,817551
113,52;32,86992
113,53;32,964196
113,54;33,055513
113,55;33,152029
113,56;33,299895
113,57;33,492713
113,58;33,659448
113,59;33,749565
113,6;33,767338
113,61;33,753296
113,62;33,697965
113,63;33,543182
113,64;33,276746
113,65;32,963233
113,66;32,70988
113,67;32,567899
113,68;32,521018
113,69;32,551942
113,7;32,653927
113,71;32,824745
113,72;33,012623
113,73;33,129242
113,74;33,13373
113,75;33,041887
113,76;32,904434
113,77;32,747252
113,78;32,566575
113,79;32,387369
113,8;32,266389
113,81;32,263742
113,82;32,362886
113,83;32,471348
113,84;32,529612
113,85;32,562131
113,86;32,637624
113,87;32,747645
113,88;32,802547
113,89;32,760052
113,9;32,674303
113,91;32,637891
113,92;32,652749
113,93;32,631164
113,94;32,535796
113,95;32,436936
113,96;32,446943
113,97;32,576617
113,98;32,726485
113,99;32,822108
114;32,879158
114,01;32,959301
114,02;33,048058
114,03;33,05501
114,04;32,946238
114,05;32,798588
114,06;32,734088
114,07;32,77623
114,08;32,843829
114,09;32,88815
114,1;32,946453
114,11;33,08313
114,12;33,274501
114,13;33,416444
114,14;33,454362
114,15;33,432141
114,16;33,431508
114,17;33,461959
114,18;33,460562
114,19;33,39822
114,2;33,323324
114,21;33,313985
114,22;33,379188
114,23;33,454195
114,24;33,498155
114,25;33,538703
114,26;33,627611
114,27;33,752887
114,28;33,841469
114,29;33,84891
114,3;33,795714
114,31;33,728733
114,32;33,653325
114,33;33,537671
114,34;33,378228
114,35;33,226452
114,36;33,15027
114,37;33,150216
114,38;33,162214
114,39;33,14379
114,4;33,114261
114,41;33,120314
114,42;33,151273
114,43;33,14375
114,44;33,072325
114,45;32,985468
114,46;32,961046
114,47;33,013226
114,48;33,091819
114,49;33,168503
114,5;33,266388
114,51;33,417331
114,52;33,58824
114,53;33,697508
114,54;33,707115
114,55;33,653111
114,56;33,59916
114,57;33,560081
114,58;33,507647
114,59;33,441467
114,6;33,404947
114,61;33,438734
114,62;33,516125
114,63;33,561132
114,64;33,52837
114,65;33,432409
114,66;33,316684
114,67;33,195911
114,68;33,058612
114,69;32,91887
114,7;32,826893
114,71;32,82649
114,72;32,894993
114,73;32,961514
114,74;32,986484
114,75;32,990823
114,76;33,018562
114,77;33,076943
114,78;33,137124
114,79;33,184625
114,8;33,232134
114,81;33,289164
114,82;33,332074
114,83;33,318113
114,84;33,224136
114,85;33,065686
114,86;32,88839
114,87;32,740416
114,88;32,653096
114,89;32,638453
114,9;32,689591
114,91;32,777169
114,92;32,856076
114,93;32,886718
114,94;32,851195
114,95;32,758869
114,96;32,637848
114,97;32,520085
114,98;32,434542
114,99;32,402789
115;32,432014
115,01;32,505121
115,02;32,587321
115,03;32,653939
115,04;32,70481
115,05;32,753312
115,06;32,807554
115,07;32,864326
115,08;32,917666
115,09;32,96649
115,1;33,011986
115,11;33,046215
115,12;33,051304
115,13;33,013417
115,14;32,938536
115,15;32,856628
115,16;32,800743
115,17;32,78883
115,18;32,82596
115,19;32,910331
115,2;33,03528
115,21;33,178438
115,22;33,303574
115,23;33,386298
115,24;33,426458
115,25;33,439784
115,26;33,438006
115,27;33,420921
115,28;33,390667
115,29;33,359472
115,3;33,342915
115,31;33,344601
115,32;33,352485
115,33;33,359324
115,34;33,375956
115,35;33,419214
115,36;33,489566
115,37;33,564652
115,38;33,616989
115,39;33,635315
115,4;33,626978
115,41;33,597285
115,42;33,540243
115,43;33,454962
115,44;33,356333
115,45;33,266151
115,46;33,191024
115,47;33,116849
115,48;33,029181
115,49;32,927114
115,5;32,819728
115,51;32,713778
115,52;32,612349
115,53;32,525351
115,54;32,471668
