# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 10:03:10.512
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005794,-0.2559,0.0652,0.5005,0.57
0.020306,-0.0914,-0.0409,0.5126,0.52
0.029121,0.0175,-0.2179,0.3602,0.42
0.037349,0.0362,-0.2836,0.2832,0.40
0.048584,0.0285,-0.2038,0.1712,0.27
0.055333,0.0305,-0.1297,-0.0578,0.15
0.063866,0.0658,-0.1075,-0.2964,0.32
0.076869,0.0698,-0.0433,-0.5971,0.60
0.089065,0.0839,0.0304,-0.6768,0.68
0.095679,0.0810,0.0892,-0.6789,0.69
0.108200,-0.0060,0.1386,-0.3997,0.42
0.116610,-0.0276,0.0797,-0.1890,0.21
0.125537,-0.0224,-0.0228,-0.0165,0.04
0.140597,0.0044,-0.1045,0.2042,0.23
0.148442,0.0136,-0.0996,0.2456,0.27
0.156210,0.0275,-0.1004,0.1923,0.22
0.165524,0.0653,-0.1295,0.0725,0.16
0.180672,0.1027,-0.1412,-0.1523,0.23
0.189731,0.0851,-0.1073,-0.2532,0.29
0.197297,0.0892,-0.0647,-0.3161,0.33
0.204323,0.0378,-0.0273,-0.3199,0.32
0.220706,-0.0353,0.0008,-0.2382,0.24
0.231134,-0.0757,0.0024,-0.1717,0.19
0.239615,-0.0751,0.0065,-0.0669,0.10
0.245296,-0.0426,0.0056,0.0022,0.04
0.261450,0.0262,-0.0829,0.0198,0.09
0.272455,0.0342,-0.0764,-0.0319,0.09
0.282157,0.0023,-0.0636,-0.0882,0.11
0.288740,-0.0180,-0.0582,-0.1492,0.16
0.300557,0.0128,-0.0694,-0.2359,0.25
0.307981,0.0218,-0.0758,-0.2163,0.23
0.316035,0.0173,-0.0548,-0.1898,0.20
0.324855,0.0115,-0.0330,-0.1827,0.19
0.340731,-0.0287,-0.0200,-0.1613,0.17
0.348275,-0.0321,-0.0368,-0.1349,0.14
0.355725,-0.0260,-0.0426,-0.1370,0.15
0.364201,-0.0258,-0.0532,-0.1318,0.14
0.380528,-0.0411,-0.0779,-0.1316,0.16
0.388415,-0.0206,-0.0988,-0.1319,0.17
0.396182,0.0172,-0.0661,-0.1157,0.13
0.404555,0.0083,-0.0497,-0.1380,0.15
0.420007,-0.0043,-0.0290,-0.1251,0.13
0.432099,0.0215,-0.0376,-0.0992,0.11
0.438935,0.0143,-0.0328,-0.0609,0.07
0.447287,0.0279,-0.0458,-0.0678,0.09
0.457329,0.0305,-0.0470,-0.0794,0.10
0.463617,0.0274,-0.0316,-0.0957,0.10
0.476940,0.0260,-0.0114,-0.1048,0.11
0.489051,0.0286,0.0007,-0.0904,0.09
0.498416,0.0112,-0.0250,-0.0595,0.07
0.509738,-0.0375,-0.0294,-0.0725,0.09
0.516478,-0.0401,0.0009,-0.0754,0.09
0.524444,-0.0568,-0.0075,-0.0519,0.08
0.541241,-0.0400,-0.0634,0.0322,0.08
0.549410,-0.0266,-0.0492,0.0498,0.07
0.557611,-0.0129,-0.0413,-0.0088,0.04
0.565915,-0.0091,-0.0334,-0.0841,0.09
0.581589,0.0104,-0.0527,-0.2039,0.21
0.591622,0.0201,-0.0547,-0.2392,0.25
0.600825,0.0169,-0.0101,-0.2677,0.27
0.607015,0.0084,0.0070,-0.2822,0.28
0.615020,-0.0146,0.0035,-0.2299,0.23
0.629071,-0.0520,-0.0359,-0.1090,0.13
0.642704,-0.0496,-0.0462,-0.0641,0.09
0.649051,-0.0445,-0.0478,-0.0332,0.07
0.653908,-0.0294,-0.0812,-0.0619,0.11
0.665569,-0.0195,-0.0885,-0.1241,0.15
0.673693,-0.0217,-0.0672,-0.1743,0.19
0.685651,0.0275,-0.0032,-0.2365,0.24
0.700476,0.0484,-0.0224,-0.2222,0.23
0.707317,0.0495,-0.0581,-0.1864,0.20
0.717604,0.0644,-0.0524,-0.1893,0.21
0.724976,0.0703,-0.0806,-0.1680,0.20
0.743168,0.0652,-0.0794,-0.0486,0.11
0.749058,0.0603,-0.0868,-0.0101,0.11
0.757549,0.0335,-0.0683,-0.0075,0.08
0.766252,0.0155,-0.0333,-0.0143,0.04
0.774301,0.0045,0.0040,-0.0188,0.02
0.789205,0.0506,0.0093,-0.0924,0.11
0.800884,0.0524,0.0446,-0.1329,0.15
0.808747,0.0514,0.0754,-0.1736,0.20
0.815763,0.0190,0.0943,-0.2166,0.24
0.824094,0.0057,0.0726,-0.2501,0.26
0.836083,0.0489,0.0322,-0.1346,0.15
0.850571,0.0424,0.0136,-0.0742,0.09
0.856062,0.0489,0.0088,0.0200,0.05
0.868881,0.0244,0.0062,0.1038,0.11
0.882961,0.0298,-0.0181,0.0384,0.05
0.887847,0.0572,-0.0404,-0.0220,0.07
0.897447,0.0578,-0.0627,-0.0705,0.11
0.906138,0.0363,-0.0652,-0.1120,0.13
0.917789,0.0134,-0.0500,-0.0772,0.09
0.925218,-0.0424,-0.0516,-0.0808,0.10
0.941664,-0.0745,-0.0135,-0.0880,0.12
0.949508,-0.0688,-0.0131,-0.0714,0.10
0.957232,-0.0356,-0.0394,-0.0690,0.09
0.965789,0.0133,-0.0668,-0.0495,0.08
0.980779,0.0488,-0.0672,-0.1052,0.13
0.990193,0.0352,-0.0735,-0.1111,0.14
0.999476,0.0334,-0.0775,-0.1456,0.17
1.005542,0.0193,-0.0622,-0.1539,0.17
1.021272,0.0113,-0.0510,-0.1712,0.18
1.029109,-0.0134,-0.0241,-0.1945,0.20
1.037195,-0.0431,-0.0394,-0.1869,0.20
1.046562,-0.0592,-0.0396,-0.1869,0.20
1.055323,-0.0635,-0.0559,-0.2061,0.22
1.065833,-0.0926,-0.0355,-0.2066,0.23
1.077344,-0.0792,0.0041,-0.2125,0.23
1.092550,-0.1035,0.0111,-0.1582,0.19
1.099431,-0.0937,0.0321,-0.1396,0.17
1.107921,-0.0978,0.0237,-0.1208,0.16
1.120034,-0.0712,-0.0242,-0.1206,0.14
1.125610,-0.0473,-0.0377,-0.0842,0.10
1.140890,-0.0221,-0.0874,-0.1043,0.14
1.148337,-0.0123,-0.0845,-0.1613,0.18
1.156861,-0.0207,-0.0637,-0.2258,0.24
1.165429,-0.0434,-0.0319,-0.3051,0.31
1.174000,-0.0269,0.0009,-0.3369,0.34
1.189156,0.0350,0.0192,-0.3358,0.34
1.200805,0.0381,0.0013,-0.3098,0.31
1.208266,0.0206,-0.0198,-0.2214,0.22
1.215689,-0.0062,-0.0607,-0.1111,0.13
1.224697,-0.0209,-0.0946,0.0447,0.11
1.237879,-0.0061,-0.1063,0.1580,0.19
1.249068,-0.0417,-0.0807,0.1846,0.21
1.256026,-0.0633,-0.0643,0.1799,0.20
1.269567,-0.0480,-0.0277,0.1198,0.13
1.280940,-0.0534,-0.0323,0.0910,0.11
1.288177,-0.0151,-0.0325,0.0910,0.10
1.301338,0.0745,0.0121,-0.0684,0.10
1.308173,0.0851,0.0379,-0.1513,0.18
1.317378,0.0642,0.0272,-0.1933,0.21
1.325143,0.0693,0.0191,-0.2187,0.23
1.341180,0.1098,-0.0101,-0.2363,0.26
1.349662,0.1622,-0.0453,-0.2812,0.33
1.357481,0.1813,-0.0607,-0.2905,0.35
1.365795,0.1596,-0.0373,-0.2783,0.32
1.374325,0.1307,-0.0043,-0.2638,0.29
1.389389,0.1154,-0.0431,-0.2445,0.27
1.398902,0.0737,-0.0406,-0.2183,0.23
1.407081,0.0418,-0.0450,-0.1394,0.15
1.415771,0.0365,-0.0423,-0.1108,0.12
1.424334,0.0434,-0.0374,-0.0869,0.10
1.437420,0.0297,-0.0765,-0.1202,0.15
1.451769,0.0406,-0.0816,-0.1321,0.16
1.460748,-0.0055,-0.0333,-0.0341,0.05
1.472749,-0.0284,-0.0183,-0.0151,0.04
1.484496,-0.0439,-0.0126,0.0086,0.05
1.492646,-0.0407,-0.0163,-0.0420,0.06
1.501137,-0.0375,0.0033,-0.0541,0.07
1.509429,-0.0162,-0.0006,-0.0967,0.10
1.517582,-0.0316,0.0048,-0.1128,0.12
1.526014,-0.0280,0.0293,-0.1002,0.11
1.541886,-0.0689,-0.0092,-0.0730,0.10
1.550444,-0.0210,-0.0385,-0.0248,0.05
1.558339,-0.0021,-0.0290,0.0088,0.03
1.566397,-0.0071,-0.0195,0.0304,0.04
1.574580,-0.0029,-0.0340,0.0066,0.03
1.589515,0.0212,-0.0205,-0.0841,0.09
1.599947,0.0205,-0.0135,-0.0625,0.07
1.607909,0.0344,0.0127,-0.0984,0.11
1.616302,0.0350,-0.0090,-0.1127,0.12
1.624915,0.1011,-0.0312,-0.1699,0.20
1.637379,0.0895,-0.0431,-0.2002,0.22
1.651610,0.0832,-0.0496,-0.2236,0.24
1.659072,0.0838,-0.0542,-0.2420,0.26
1.666296,0.0745,-0.0468,-0.2437,0.26
1.673833,0.0369,-0.0221,-0.2216,0.23
1.685571,-0.0084,-0.0501,-0.1802,0.19
1.700383,-0.0057,-0.0431,-0.1585,0.16
1.707098,0.0105,-0.0313,-0.1584,0.16
1.717500,0.0040,-0.0371,-0.1772,0.18
1.725154,-0.0400,-0.0570,-0.1674,0.18
1.742548,-0.0170,-0.0942,-0.1863,0.21
1.749551,-0.0041,-0.0604,-0.2056,0.21
1.757959,-0.0021,-0.0429,-0.1867,0.19
1.765614,0.0225,-0.0918,-0.1607,0.19
1.781861,-0.0063,-0.0697,-0.0617,0.09
1.793143,-0.0154,-0.0572,0.0164,0.06
1.801124,-0.0397,-0.0540,0.0347,0.08
1.810969,-0.0840,-0.0344,0.0194,0.09
1.814469,-0.0880,-0.0133,-0.0219,0.09
1.824589,-0.0729,-0.0267,-0.0820,0.11
1.834283,-0.0531,-0.0433,-0.1227,0.14
1.845429,-0.0261,-0.0505,-0.1220,0.13
1.860200,-0.0594,-0.0393,-0.1338,0.15
1.868547,-0.0587,-0.0516,-0.1003,0.13
1.875016,-0.0383,-0.0460,-0.0670,0.09
1.885564,-0.0186,-0.0666,0.0516,0.09
1.900579,-0.0190,-0.0338,0.0727,0.08
1.907027,-0.0403,-0.0156,0.0819,0.09
1.916026,-0.0327,-0.0241,0.0625,0.07
1.925161,-0.0231,-0.0359,0.0044,0.04
1.942023,-0.0436,0.0069,0.0152,0.05
1.949581,-0.0299,-0.0003,0.0745,0.08
1.958120,0.0002,-0.0416,0.0932,0.10
1.965731,-0.0024,-0.0566,0.0855,0.10
1.981144,-0.0004,-0.0458,0.1825,0.19
1.992279,0.0079,-0.0291,0.2367,0.24
2.000601,-0.0039,0.0069,0.2501,0.25
2.007925,0.0174,0.0165,0.2085,0.21
2.015921,-0.0234,0.0356,0.1573,0.16
2.024198,-0.0496,0.0106,0.0921,0.11
2.037445,0.0433,-0.0056,-0.0472,0.06
2.048069,0.0950,-0.0087,-0.0831,0.13
2.056361,0.1520,-0.0311,-0.0997,0.18
2.064815,0.0927,-0.0347,-0.0658,0.12
2.078593,0.0366,-0.0452,-0.0169,0.06
2.089508,0.0357,-0.0895,-0.0238,0.10
2.099568,0.0316,-0.0708,-0.0380,0.09
2.107252,-0.0123,-0.0153,-0.0957,0.10
2.115618,-0.0201,0.0437,-0.1275,0.14
2.124854,-0.0716,0.0623,-0.1708,0.20
2.133749,-0.0354,0.0197,-0.2015,0.21
2.149970,0.0315,-0.0310,-0.1968,0.20
2.158391,0.0637,-0.0427,-0.0963,0.12
2.166181,0.0653,-0.0484,0.0165,0.08
2.174188,0.0291,-0.0412,0.0293,0.06
2.186350,-0.0106,-0.0094,0.0258,0.03
2.194059,-0.0230,0.0041,-0.0130,0.03
2.205296,-0.0179,0.0338,-0.2018,0.21
2.215416,0.0275,0.0682,-0.4025,0.41
2.224676,0.0604,0.0672,-0.5603,0.57
2.237864,0.1573,0.1338,-0.9108,0.93
2.252373,0.1374,0.1596,-1.0894,1.11
2.260225,0.0251,0.1831,-1.1347,1.15
2.267323,-0.0801,0.0645,-0.8237,0.83
