# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:52:17.153
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011337,0.0183,-0.1260,-0.0574,0.14
0.011532,-0.0449,-0.1953,-0.2985,0.36
0.021291,-0.0465,-0.1872,-0.4445,0.48
0.026682,-0.0278,-0.0915,-0.4983,0.51
0.041821,0.0373,-0.0430,-0.5433,0.55
0.049365,0.1011,-0.0594,-0.4904,0.50
0.057455,0.2190,-0.0442,-0.3606,0.42
0.065402,0.2797,-0.1068,-0.1599,0.34
0.080690,0.1429,-0.1949,0.1801,0.30
0.089378,0.0929,-0.1476,0.2871,0.34
0.097808,0.1575,-0.1175,0.2860,0.35
0.105488,0.1992,-0.1397,0.2194,0.33
0.121663,0.1491,-0.1851,-0.0795,0.25
0.131504,0.1058,-0.1318,-0.1746,0.24
0.138174,0.1150,-0.1329,-0.2414,0.30
0.146719,0.1069,-0.1480,-0.3061,0.36
0.161615,0.1473,-0.0726,-0.4063,0.44
0.171606,0.1787,-0.0413,-0.4256,0.46
0.180284,0.1730,-0.0519,-0.4194,0.46
0.187986,0.1025,-0.0542,-0.3470,0.37
0.196877,0.0372,-0.0581,-0.2728,0.28
0.209688,0.0032,-0.1438,-0.1300,0.19
0.223675,0.0486,-0.1565,-0.0468,0.17
0.225714,0.0854,-0.1838,0.0678,0.21
0.241681,0.1287,-0.2258,0.1467,0.30
0.250430,0.1410,-0.2094,0.0919,0.27
0.258468,0.1674,-0.1740,0.0013,0.24
0.266098,0.1879,-0.1368,-0.0913,0.25
0.281889,0.1222,-0.1041,-0.1722,0.24
0.291262,0.1097,-0.0650,-0.1297,0.18
0.300335,0.0610,-0.0637,-0.0876,0.12
0.306032,0.0435,-0.0960,-0.0669,0.12
0.321931,0.0738,-0.0991,0.0276,0.13
0.329687,0.0609,-0.0962,0.0488,0.12
0.339890,0.0677,-0.1131,0.0033,0.13
0.346271,0.0678,-0.1352,-0.0106,0.15
0.355680,0.0946,-0.1289,-0.0219,0.16
0.370692,0.0719,-0.1151,-0.1036,0.17
0.381083,0.0559,-0.1358,-0.1743,0.23
0.388986,0.0473,-0.1363,-0.2075,0.25
0.396759,0.1074,-0.1168,-0.1934,0.25
0.405935,0.1408,-0.0991,-0.1701,0.24
0.418559,0.1382,-0.1132,-0.0764,0.19
0.426008,0.1364,-0.1069,-0.0272,0.18
0.442668,0.0911,-0.1297,-0.0065,0.16
0.450532,0.0739,-0.1042,-0.0346,0.13
0.459744,0.0998,-0.0891,-0.0622,0.15
0.467162,0.1135,-0.0934,-0.1351,0.20
0.483298,0.0439,-0.1281,-0.2163,0.26
0.490403,0.0162,-0.1319,-0.2273,0.26
0.498114,-0.0088,-0.1255,-0.2315,0.26
0.507214,-0.0392,-0.0996,-0.2120,0.24
0.522621,-0.0162,-0.0846,-0.2532,0.27
0.530075,0.0349,-0.0909,-0.2179,0.24
0.537924,0.0869,-0.0777,-0.1279,0.17
0.547053,0.0926,-0.0477,-0.0546,0.12
0.556149,0.1158,-0.0758,0.0024,0.14
0.570741,0.1649,-0.1086,-0.0443,0.20
0.581827,0.1154,-0.0964,-0.1049,0.18
0.590026,0.0372,-0.0770,-0.2518,0.27
0.599823,0.0063,-0.0832,-0.3106,0.32
0.608097,0.0082,-0.0810,-0.3320,0.34
0.619189,0.0555,-0.1229,-0.3227,0.35
0.627682,0.0508,-0.1316,-0.2532,0.29
0.635481,0.0244,-0.1348,-0.1843,0.23
0.650113,0.0231,-0.1496,0.0676,0.17
0.658462,0.0511,-0.1505,0.1510,0.22
0.666820,0.0697,-0.0960,0.1759,0.21
0.675651,0.0710,-0.0867,0.1259,0.17
0.691750,0.0614,-0.0974,-0.0153,0.12
0.699933,0.0351,-0.0735,-0.1164,0.14
0.707959,0.0087,-0.0949,-0.1962,0.22
0.716852,0.0231,-0.1082,-0.2479,0.27
0.731218,0.0808,-0.1540,-0.2859,0.33
0.740181,0.0710,-0.1194,-0.2460,0.28
0.748788,0.0669,-0.0957,-0.1518,0.19
0.757939,0.0714,-0.0983,0.0310,0.13
0.766384,0.0398,-0.1135,0.1759,0.21
0.778866,-0.0436,-0.1889,0.2365,0.31
0.794844,0.0247,-0.1604,0.2289,0.28
0.802422,0.1591,-0.1231,0.0816,0.22
0.811951,0.1115,-0.1476,-0.0798,0.20
0.826840,0.0953,-0.1339,-0.1691,0.24
0.827360,0.1183,-0.0555,-0.2633,0.29
0.835288,0.1194,0.0018,-0.3195,0.34
0.853829,0.0301,-0.0967,-0.3810,0.39
0.859789,0.0031,-0.1081,-0.3532,0.37
0.866412,0.0232,-0.0445,-0.2951,0.30
