# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 10:01:56.774
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004641,-0.1147,-0.0228,0.0012,0.12
0.010688,-0.1752,0.0707,0.0666,0.20
0.022703,-0.1678,0.1297,0.0135,0.21
0.031356,-0.1305,0.1015,0.0220,0.17
0.039549,-0.0792,0.0554,0.0118,0.10
0.055183,0.0336,-0.1220,0.0077,0.13
0.062618,0.0660,-0.1114,-0.0319,0.13
0.072565,0.0890,-0.1116,-0.0567,0.15
0.079853,0.0669,-0.0717,-0.1196,0.15
0.087373,0.0617,-0.0677,-0.1873,0.21
0.103454,-0.0363,-0.0202,-0.2033,0.21
0.114220,-0.0648,0.0092,-0.1972,0.21
0.121473,-0.0653,0.0270,-0.1793,0.19
0.129194,-0.0425,0.0235,-0.1902,0.20
0.143401,0.0113,0.0144,-0.2752,0.28
0.153995,-0.0077,0.0281,-0.3205,0.32
0.162600,0.0093,0.0311,-0.3567,0.36
0.175882,0.0358,0.0364,-0.3873,0.39
0.186972,0.0457,0.0426,-0.3861,0.39
0.196722,0.0583,0.0109,-0.3660,0.37
0.199519,0.0455,-0.0303,-0.2668,0.27
0.207341,0.0312,-0.0886,-0.1675,0.19
0.223219,-0.0130,-0.1012,0.0124,0.10
0.230856,-0.0543,-0.1323,0.0715,0.16
0.239143,-0.0956,-0.1689,0.1044,0.22
0.247985,-0.1157,-0.1838,0.1302,0.25
0.263863,-0.1016,-0.1569,0.1045,0.21
0.272439,-0.0651,-0.1098,0.1488,0.20
0.280095,-0.1151,-0.1320,0.0900,0.20
0.287321,-0.1715,-0.0642,0.0316,0.19
0.304261,-0.1015,0.0620,0.0336,0.12
0.311601,-0.0435,0.0569,0.0081,0.07
0.320946,-0.0314,0.0449,-0.0766,0.09
0.329103,0.0072,0.0200,-0.1658,0.17
0.338832,0.0264,-0.0080,-0.2691,0.27
0.347539,0.0452,-0.0690,-0.3271,0.34
0.359409,0.0711,-0.0522,-0.2913,0.30
0.375090,0.0810,-0.0489,-0.2813,0.30
0.383059,0.0316,-0.0417,-0.2269,0.23
0.391901,0.0266,-0.0438,-0.1678,0.18
0.399529,0.0097,-0.0677,-0.0895,0.11
0.407446,-0.0141,-0.0609,-0.0230,0.07
0.422956,-0.0576,-0.0441,-0.0109,0.07
0.431730,-0.0372,-0.0338,-0.0558,0.08
0.439093,-0.0360,-0.0387,-0.0717,0.09
0.447825,-0.0112,-0.0376,-0.1112,0.12
0.463510,0.0196,-0.0238,-0.2405,0.24
0.472468,0.0162,-0.0410,-0.2947,0.30
0.479893,0.0077,-0.0782,-0.3279,0.34
0.488171,-0.0008,-0.0749,-0.3569,0.36
0.503769,-0.0082,-0.0429,-0.3308,0.33
0.513513,-0.0285,-0.0469,-0.3015,0.31
0.523518,-0.0058,-0.0623,-0.3082,0.31
0.529941,0.0291,-0.0826,-0.2742,0.29
0.539056,0.0164,-0.0890,-0.1994,0.22
0.552453,-0.0050,-0.1255,-0.0849,0.15
0.561766,-0.0254,-0.1683,0.0484,0.18
0.571505,-0.0187,-0.1552,0.1295,0.20
0.579788,-0.0196,-0.1196,0.1464,0.19
0.590298,-0.0508,-0.0414,0.0516,0.08
0.599068,-0.0379,-0.0344,-0.0242,0.06
0.615753,-0.0036,0.0200,-0.0849,0.09
0.623192,0.0212,0.0820,-0.0961,0.13
0.630516,0.0518,0.0892,-0.1145,0.15
0.638883,0.0037,0.0656,-0.0899,0.11
0.655775,-0.0058,0.0557,0.0506,0.08
0.663463,-0.0123,0.0380,0.0900,0.10
0.671404,0.0818,-0.0573,0.0866,0.13
0.679785,0.1349,-0.1106,0.0476,0.18
0.687289,0.1298,-0.1020,0.0015,0.17
0.703983,0.0185,0.0202,-0.1392,0.14
0.715954,0.0022,0.0463,-0.1840,0.19
0.722869,0.0323,0.0474,-0.2435,0.25
0.730605,0.0654,0.0761,-0.3105,0.33
0.739154,0.0677,0.0844,-0.3180,0.34
0.748876,0.0460,0.0695,-0.3450,0.35
0.760707,-0.0083,0.0407,-0.2699,0.27
0.775773,-0.0143,0.0289,-0.2755,0.28
0.784307,-0.0600,-0.0067,-0.1854,0.19
0.791295,-0.0364,-0.0449,-0.1088,0.12
0.799036,-0.0528,-0.0885,-0.0582,0.12
0.807992,-0.0339,-0.1082,-0.0604,0.13
0.825759,-0.1017,-0.0930,-0.0869,0.16
0.832548,-0.1199,-0.0965,-0.0921,0.18
0.841643,-0.1331,-0.0826,-0.0999,0.19
0.848940,-0.1580,-0.0466,-0.1054,0.20
0.857958,-0.1396,-0.0394,-0.0941,0.17
0.873117,-0.0460,-0.0302,-0.1194,0.13
0.884308,-0.0376,-0.0354,-0.1223,0.13
0.892020,-0.0502,-0.0270,-0.0844,0.10
0.902526,-0.0317,-0.0433,-0.0509,0.07
0.915632,-0.0028,-0.0347,-0.0050,0.04
0.923680,0.0460,-0.0335,-0.0334,0.07
0.933529,0.0512,-0.0302,-0.0448,0.07
0.942626,0.0436,-0.0390,-0.0348,0.07
0.955649,0.0240,-0.0383,-0.0438,0.06
0.961626,0.0670,-0.0460,-0.1195,0.14
0.968067,0.0680,-0.0249,-0.1888,0.20
0.978694,0.0570,0.0211,-0.2296,0.24
0.987557,0.0388,0.0365,-0.2395,0.25
0.998664,0.0428,0.0096,-0.2192,0.22
1.015636,0.0336,-0.0382,-0.0866,0.10
1.023602,0.0375,-0.0319,-0.0894,0.10
1.031545,0.0164,0.0147,-0.1448,0.15
1.039856,0.0098,0.0272,-0.2000,0.20
1.047350,0.0107,0.0199,-0.2454,0.25
1.063632,-0.0081,-0.0166,-0.2475,0.25
1.073562,-0.0431,-0.0472,-0.2022,0.21
1.081676,-0.0500,-0.0649,-0.1643,0.18
1.089316,-0.0356,-0.0888,-0.1172,0.15
1.098474,-0.0261,-0.0976,-0.0583,0.12
1.111615,-0.0216,-0.1270,0.0809,0.15
1.125148,-0.0368,-0.1295,0.1065,0.17
1.132063,-0.0612,-0.1068,0.1205,0.17
1.139207,-0.0493,-0.0974,0.1229,0.16
1.152215,-0.0234,-0.0550,0.0041,0.06
1.166720,-0.0160,-0.0435,-0.0764,0.09
1.174179,0.0033,-0.0396,-0.1424,0.15
1.181225,0.0058,-0.0185,-0.1870,0.19
1.189892,-0.0060,-0.0113,-0.1958,0.20
1.197605,-0.0273,-0.0108,-0.1832,0.19
1.216589,-0.0137,-0.0150,-0.1963,0.20
1.226203,-0.0215,-0.0185,-0.1912,0.19
1.235809,-0.0053,-0.0481,-0.1694,0.18
1.239791,-0.0273,-0.0607,-0.1261,0.14
1.248559,-0.0348,-0.0512,-0.0806,0.10
1.264457,-0.0218,-0.0267,-0.0976,0.10
1.275955,-0.0230,-0.0195,-0.0737,0.08
1.282947,-0.0123,-0.0248,-0.0688,0.07
1.290402,-0.0203,-0.0308,-0.0541,0.07
1.299492,-0.0233,-0.0332,-0.0605,0.07
1.311512,-0.0103,0.0006,-0.1637,0.16
1.324974,0.0152,-0.0195,-0.2489,0.25
1.332685,0.0356,-0.0270,-0.3151,0.32
1.341467,0.0367,-0.0306,-0.3411,0.34
1.348901,0.0026,-0.0350,-0.2957,0.30
1.360357,-0.0358,-0.0164,-0.2205,0.22
1.374316,-0.0451,-0.0467,-0.1616,0.17
1.382023,-0.0492,-0.0629,-0.0764,0.11
1.389582,-0.0508,-0.0581,0.0019,0.08
1.398677,-0.0496,-0.0592,0.0686,0.10
1.407521,-0.0365,-0.0446,0.0494,0.08
1.425104,-0.0473,-0.0606,-0.0697,0.10
1.432688,-0.0088,-0.0517,-0.1197,0.13
1.443084,-0.0045,-0.0212,-0.1243,0.13
1.448002,-0.0171,-0.0361,-0.1170,0.12
1.464398,-0.0485,-0.0611,-0.0042,0.08
1.474581,-0.0380,-0.0624,0.0154,0.07
1.482365,0.0089,-0.0691,-0.0342,0.08
1.490200,0.0174,-0.0406,-0.0812,0.09
1.497915,0.0092,-0.0365,-0.1304,0.14
1.513454,0.0019,-0.0336,-0.2120,0.21
1.522636,0.0020,-0.0172,-0.2662,0.27
1.531636,0.0305,-0.0146,-0.2751,0.28
1.540025,0.0278,-0.0012,-0.2413,0.24
1.548037,0.0246,-0.0201,-0.2390,0.24
1.558077,0.0190,-0.0088,-0.2109,0.21
1.573899,-0.0020,0.0182,-0.1240,0.13
1.581989,0.0107,0.0111,-0.0936,0.09
1.588816,-0.0009,-0.0279,-0.0535,0.06
1.599552,-0.0055,-0.0607,-0.0513,0.08
1.607749,-0.0041,-0.0618,-0.0797,0.10
1.623882,0.0116,-0.0808,-0.1869,0.20
1.631150,0.0239,-0.0857,-0.1773,0.20
1.640429,0.0310,-0.0659,-0.1704,0.19
1.647531,0.0313,-0.0432,-0.1373,0.15
1.663822,0.0430,-0.0099,-0.1166,0.12
1.671423,0.0224,-0.0047,-0.1048,0.11
1.681106,-0.0170,-0.0023,-0.1072,0.11
1.688647,-0.0176,-0.0028,-0.1454,0.15
1.697886,-0.0082,0.0180,-0.1787,0.18
1.712121,-0.0097,0.0132,-0.2050,0.21
1.723921,-0.0207,-0.0162,-0.2294,0.23
1.731464,-0.0254,0.0043,-0.2210,0.22
1.739415,-0.0257,-0.0015,-0.2254,0.23
1.748427,-0.0209,-0.0268,-0.1849,0.19
1.759939,-0.0218,-0.0728,0.0511,0.09
1.774299,-0.0308,-0.0548,0.1323,0.15
1.781490,-0.0454,-0.0463,0.1639,0.18
1.789191,-0.0535,-0.0424,0.1436,0.16
1.797515,-0.0477,-0.0582,0.0977,0.12
1.808686,-0.0196,-0.0159,-0.0395,0.05
1.824422,-0.0115,0.0051,-0.2304,0.23
1.831487,-0.0129,0.0002,-0.2409,0.24
1.839609,-0.0280,0.0032,-0.2061,0.21
1.848701,-0.0299,-0.0101,-0.1499,0.15
1.865104,-0.0590,-0.0319,-0.0852,0.11
1.875315,-0.0465,-0.0332,-0.1319,0.14
1.879738,-0.0733,-0.0439,-0.1691,0.19
1.888369,-0.0672,-0.0564,-0.1515,0.18
1.897438,-0.0300,-0.0780,-0.1699,0.19
