# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:53:11.514
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007424,0.0748,-0.0339,0.2899,0.30
0.014657,0.1056,-0.1362,0.1460,0.23
0.021546,0.1775,-0.2710,0.0140,0.32
0.031675,0.2005,-0.1746,-0.0340,0.27
0.048318,0.0031,-0.0205,-0.0904,0.09
0.056208,-0.0815,-0.0359,-0.1179,0.15
0.064728,-0.0780,-0.0673,-0.1027,0.15
0.072321,-0.0159,-0.0524,-0.1048,0.12
0.088285,0.0585,-0.0659,-0.3331,0.34
0.097125,0.0335,-0.1033,-0.4160,0.43
0.108189,0.0015,-0.1083,-0.4830,0.49
0.115163,0.0160,-0.1049,-0.5125,0.52
0.122905,0.0376,-0.0863,-0.4969,0.51
0.136572,0.0615,-0.0422,-0.2754,0.29
0.148463,0.0176,-0.0255,-0.1978,0.20
0.155036,-0.0412,-0.0311,-0.1197,0.13
0.166027,-0.0649,-0.0282,-0.0123,0.07
0.171750,-0.0644,-0.0385,0.0289,0.08
0.183830,-0.0573,-0.0665,0.0107,0.09
0.192303,-0.0033,-0.0630,-0.0206,0.07
0.208936,0.0503,-0.1080,-0.2072,0.24
0.217000,0.0499,-0.1221,-0.3041,0.33
0.224267,0.0673,-0.1137,-0.3035,0.33
0.232293,0.1087,-0.0738,-0.3006,0.33
0.241227,0.0863,-0.0740,-0.2886,0.31
0.256578,0.0267,-0.0828,-0.2220,0.24
0.265155,0.0114,-0.0538,-0.1575,0.17
0.274143,-0.0102,-0.0443,-0.1094,0.12
0.280886,-0.0580,-0.0568,-0.1450,0.17
0.296311,-0.0419,-0.0363,-0.0332,0.06
0.306268,-0.0223,-0.0201,0.0423,0.05
0.314043,-0.0146,-0.0544,0.0269,0.06
0.320994,0.0036,-0.1207,-0.0264,0.12
0.335829,0.1097,-0.1301,-0.1583,0.23
0.345882,0.1538,-0.0675,-0.1873,0.25
0.353673,0.1429,-0.0712,-0.1785,0.24
0.362644,0.0610,-0.0982,-0.1172,0.16
0.371996,-0.0099,-0.0842,-0.0322,0.09
0.384072,-0.0613,-0.0269,0.0035,0.07
0.391536,-0.0579,-0.0492,0.0265,0.08
0.400444,-0.0249,-0.0793,0.0164,0.08
0.416404,0.0136,-0.1119,-0.0249,0.12
0.424573,0.0417,-0.0997,0.0061,0.11
0.432332,0.0537,-0.0809,-0.0081,0.10
0.448162,0.0321,-0.1421,-0.0624,0.16
0.457263,0.0838,-0.1383,-0.0523,0.17
0.464123,0.0742,-0.0965,-0.0899,0.15
0.472077,0.0222,-0.0715,-0.1202,0.14
0.488400,-0.0602,-0.0667,-0.1498,0.17
0.498550,-0.0945,-0.0725,-0.1419,0.19
0.507845,-0.1138,-0.0853,-0.0911,0.17
0.516602,-0.0925,-0.0694,-0.0738,0.14
0.525292,-0.0734,-0.0464,-0.0900,0.13
0.532933,-0.0579,-0.0760,-0.1181,0.15
0.540765,0.0142,-0.1082,-0.1127,0.16
0.552375,0.1539,-0.0387,-0.1497,0.22
0.565303,0.2461,0.0470,-0.2189,0.33
0.573930,0.2575,0.0512,-0.2282,0.35
0.582422,0.1108,-0.0429,-0.2925,0.32
0.591263,-0.0218,-0.0905,-0.2975,0.31
