# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:50:25.722
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007555,0.0388,-0.0192,-0.1900,0.19
0.019974,-0.0948,0.1193,-0.1095,0.19
0.034240,-0.0652,-0.0068,-0.0834,0.11
0.040222,-0.0295,-0.1207,-0.0360,0.13
0.050941,-0.0658,-0.1032,-0.0132,0.12
0.059235,-0.0227,-0.1017,-0.0280,0.11
0.067403,0.0310,-0.1176,-0.0999,0.16
0.083306,0.0913,-0.1461,-0.1295,0.22
0.093488,0.0518,-0.1031,-0.0994,0.15
0.099012,0.0551,-0.0408,-0.1149,0.13
0.108182,0.0187,0.0238,-0.1423,0.15
0.124756,-0.0340,0.0237,-0.1596,0.16
0.131918,-0.0847,0.0119,-0.1663,0.19
0.142515,-0.1049,-0.0123,-0.1920,0.22
0.148508,-0.0998,-0.0218,-0.2657,0.28
0.163662,-0.0450,-0.0878,-0.4104,0.42
0.172511,-0.0057,-0.1315,-0.3071,0.33
0.180209,0.0399,-0.1092,-0.2094,0.24
0.189520,0.0749,-0.0340,-0.1502,0.17
0.198364,0.1228,-0.0383,-0.1338,0.19
0.212455,0.1098,-0.0834,-0.0535,0.15
0.222914,0.0591,-0.0740,-0.0448,0.10
0.230948,0.0279,-0.0214,-0.0817,0.09
0.239279,-0.0492,0.0124,-0.1403,0.15
0.247976,-0.0786,-0.0061,-0.1847,0.20
0.259190,-0.0186,-0.0564,-0.1761,0.19
0.267627,0.0287,-0.0637,-0.1833,0.20
0.283747,-0.0122,-0.0833,-0.0195,0.09
0.292156,0.0005,-0.0747,0.0154,0.08
0.299399,0.0337,-0.0737,0.0172,0.08
0.308065,0.0254,-0.0930,0.0029,0.10
0.324274,-0.0235,-0.0770,-0.0049,0.08
0.331985,-0.0675,-0.0456,-0.0156,0.08
0.339936,-0.0456,-0.0338,-0.0356,0.07
0.348242,0.0002,-0.0699,-0.0890,0.11
0.363414,0.0118,-0.0788,-0.1593,0.18
0.378119,-0.0055,-0.0721,-0.2007,0.21
0.383618,0.0118,-0.0263,-0.2497,0.25
0.388681,0.0531,0.0037,-0.3066,0.31
0.400497,0.0946,-0.0184,-0.3518,0.36
0.407211,0.0770,-0.0425,-0.2943,0.31
0.420088,0.0398,-0.0355,-0.1506,0.16
0.433463,0.0453,-0.0190,-0.1960,0.20
0.441662,0.0072,-0.0554,-0.2149,0.22
0.448645,-0.0408,-0.0937,-0.1837,0.21
0.457272,-0.0778,-0.0976,-0.1555,0.20
0.467684,-0.1000,-0.0566,-0.0900,0.15
0.483934,-0.0058,-0.0915,-0.0115,0.09
0.491868,0.0060,-0.0921,-0.0135,0.09
0.499982,0.0107,-0.0554,-0.0437,0.07
0.507576,0.0040,-0.0863,-0.0879,0.12
0.523955,0.0286,-0.0318,-0.1470,0.15
0.531936,0.0329,-0.0273,-0.2220,0.23
0.540919,0.0424,-0.0410,-0.2473,0.25
0.549412,0.0169,-0.0462,-0.2304,0.24
0.558785,-0.0060,-0.0263,-0.2356,0.24
0.568423,0.0047,-0.0418,-0.2077,0.21
0.580724,0.0308,-0.0844,-0.1400,0.17
0.591787,0.0125,-0.0805,-0.1146,0.14
0.599839,-0.0153,-0.0861,-0.0964,0.13
0.608097,-0.0194,-0.1039,-0.0781,0.13
0.619912,0.0116,-0.0513,-0.0675,0.09
0.635221,0.0112,-0.0551,-0.1040,0.12
0.642580,0.0012,-0.0636,-0.1525,0.17
0.649107,-0.0010,-0.0672,-0.1580,0.17
0.657903,-0.0123,-0.0448,-0.1633,0.17
0.668098,0.0057,-0.0531,-0.1522,0.16
0.688264,0.0165,-0.0775,-0.1392,0.16
0.701583,-0.0112,-0.0802,-0.0496,0.09
0.701742,-0.0222,-0.0800,0.0470,0.10
0.711237,0.0036,-0.0537,0.1030,0.12
0.718863,0.0086,-0.0333,0.1023,0.11
0.730623,0.0082,-0.0239,0.0832,0.09
0.738795,-0.0064,-0.0302,0.0195,0.04
0.748248,-0.0080,-0.0380,-0.1641,0.17
0.758573,0.0003,-0.0436,-0.2389,0.24
0.772818,0.0335,-0.0532,-0.2817,0.29
0.785097,0.0430,-0.0526,-0.2759,0.28
0.791590,0.0332,-0.0541,-0.2439,0.25
0.798544,0.0234,-0.0842,-0.2168,0.23
0.807969,-0.0105,-0.1048,-0.1610,0.19
0.820439,-0.0880,-0.0733,-0.1718,0.21
0.836763,-0.0760,-0.0859,-0.1929,0.22
0.837315,-0.0450,-0.0863,-0.1999,0.22
0.854054,-0.0268,-0.0465,-0.2247,0.23
0.871756,-0.0133,-0.0575,-0.2420,0.25
0.871871,0.0071,-0.0753,-0.1973,0.21
0.878469,-0.0056,-0.0855,-0.1337,0.16
0.893819,-0.0081,-0.0313,-0.0187,0.04
0.911724,-0.0054,-0.0449,-0.0048,0.05
0.911877,0.0262,-0.0667,-0.0022,0.07
0.918429,0.0370,-0.0583,-0.0423,0.08
0.933428,0.0033,-0.0357,-0.1503,0.15
0.944137,-0.0424,-0.0273,-0.2192,0.22
0.951118,-0.0625,-0.0391,-0.2385,0.25
0.957266,-0.0468,-0.0760,-0.2321,0.25
0.972644,-0.0722,-0.0786,-0.0519,0.12
0.986604,-0.0837,-0.0700,0.0488,0.12
0.990659,-0.0333,-0.0770,0.0952,0.13
1.004513,0.0068,-0.0375,0.1078,0.11
1.018566,0.0360,-0.0507,0.0285,0.07
1.024836,0.0780,-0.0559,-0.0810,0.13
1.030664,0.0945,-0.0541,-0.1904,0.22
1.040890,0.1525,-0.0536,-0.2693,0.31
1.049715,0.1780,-0.0515,-0.2942,0.35
1.058323,0.1769,-0.0574,-0.2625,0.32
1.068838,0.0364,-0.0503,-0.1203,0.14
1.086486,-0.0487,-0.0547,-0.0096,0.07
1.093082,-0.0453,-0.0951,-0.0600,0.12
1.100628,-0.0544,-0.1144,-0.0982,0.16
1.108680,-0.0572,-0.1093,-0.1056,0.16
1.135717,-0.0294,-0.1215,-0.0469,0.13
1.135893,-0.0417,-0.1033,0.0361,0.12
1.139569,-0.0423,-0.0407,0.0958,0.11
1.149043,-0.0407,-0.0373,0.1062,0.12
1.158256,-0.0197,-0.0617,0.0673,0.09
1.173452,-0.0120,-0.0892,-0.0147,0.09
1.182176,0.0273,-0.0929,-0.1474,0.18
1.191060,0.0359,-0.0927,-0.2452,0.26
1.200025,0.0113,-0.0890,-0.2813,0.30
1.207781,0.0084,-0.0764,-0.2802,0.29
1.220475,-0.0714,0.0058,-0.2063,0.22
1.233599,-0.1189,0.0098,-0.1760,0.21
1.240844,-0.1317,-0.0103,-0.1721,0.22
1.249434,-0.0998,-0.0519,-0.1706,0.20
1.258248,-0.0785,-0.0675,-0.1498,0.18
1.267467,-0.0304,-0.0743,-0.0951,0.12
1.284755,0.1158,-0.0439,-0.1949,0.23
1.292954,0.1084,-0.0682,-0.2651,0.29
1.303883,0.0832,-0.0920,-0.3163,0.34
1.309195,0.0567,-0.0743,-0.3370,0.35
1.325747,-0.0053,-0.0410,-0.2695,0.27
1.335201,-0.0456,-0.0424,-0.2270,0.24
1.342291,-0.0515,-0.0432,-0.1776,0.19
1.347953,-0.0608,-0.0414,-0.1117,0.13
1.358143,-0.0330,-0.0473,-0.0861,0.10
1.374082,0.0618,-0.0251,-0.1081,0.13
1.386056,0.0546,-0.0368,-0.1323,0.15
1.391077,0.0350,-0.0550,-0.1615,0.17
1.402182,0.0170,-0.0654,-0.1576,0.17
1.407986,0.0199,-0.0683,-0.1228,0.14
1.422492,-0.0250,-0.0686,0.0303,0.08
1.435604,-0.0297,-0.0771,0.0728,0.11
1.442937,-0.0223,-0.1108,0.0826,0.14
1.449855,-0.0463,-0.1001,0.0714,0.13
1.461395,-0.0506,-0.0899,-0.0169,0.10
1.478787,-0.0138,-0.0970,-0.0873,0.13
1.478895,0.0453,-0.1038,-0.2106,0.24
1.493163,-0.0152,-0.0930,-0.2482,0.27
1.501520,-0.0200,-0.0973,-0.1719,0.20
