# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001302154,-0.0012,0.1568,0.8446,0.859
0.004808846,0.0124,0.1512,0.7654,0.780
0.008258692,0.0178,0.1441,0.7425,0.757
0.012195923,0.0319,0.1348,0.7109,0.724
0.014753461,0.0390,0.1280,0.6989,0.712
0.019965154,0.0544,0.1082,0.6811,0.692
0.026095923,0.0684,0.0977,0.6647,0.675
0.029791385,0.0768,0.0882,0.6515,0.662
0.034711,0.0793,0.0874,0.6444,0.655
0.037416538,0.0798,0.0852,0.6468,0.657
0.042103,0.0768,0.0864,0.6542,0.664
0.045060615,0.0768,0.0955,0.6662,0.677
0.047694461,0.0776,0.0994,0.6774,0.689
0.050207923,0.0759,0.1029,0.6877,0.699
0.052714154,0.0733,0.1094,0.6953,0.708
0.058979385,0.0656,0.1221,0.7155,0.729
0.064505846,0.0598,0.1302,0.7221,0.736
0.067761538,0.0527,0.1546,0.7383,0.756
0.070509846,0.0495,0.1573,0.7417,0.760
0.073851615,0.0470,0.1671,0.7432,0.763
0.078078769,0.0427,0.1824,0.7474,0.770
0.082874461,0.0402,0.1994,0.7474,0.775
0.085443,0.0393,0.2052,0.7474,0.776
0.090684846,0.0434,0.2148,0.7476,0.779
0.095445846,0.0507,0.2229,0.7517,0.786
0.098010692,0.0542,0.2238,0.7474,0.782
0.100530769,0.0570,0.2241,0.7465,0.782
0.103150461,0.0640,0.2276,0.7530,0.789
0.106123692,0.0708,0.2313,0.7622,0.800
0.108694077,0.0749,0.2360,0.7679,0.807
0.113314461,0.0850,0.2463,0.7752,0.818
0.115951308,0.0898,0.2502,0.7761,0.820
0.121320615,0.1011,0.2609,0.7826,0.831
0.140872308,0.1089,0.2670,0.7840,0.835
0.146500923,0.1150,0.2749,0.7908,0.845
0.151390154,0.1050,0.3057,0.8321,0.893
0.158052,0.0891,0.3164,0.8392,0.901
0.161607,0.0728,0.3277,0.8465,0.911
0.166337461,0.0598,0.3377,0.8544,0.921
0.169134692,0.0539,0.3406,0.8548,0.922
0.179486077,0.0466,0.3448,0.8663,0.934
0.182746692,0.0444,0.3518,0.8749,0.944
0.187710692,0.0417,0.3578,0.8775,0.949
0.192640308,0.0388,0.3623,0.8805,0.953
0.200765231,0.0417,0.3631,0.8807,0.954
0.204129154,0.0675,0.3653,0.9147,0.987
0.211339692,0.0803,0.3662,0.9269,1.000
0.214714385,0.1084,0.3611,0.9746,1.045
0.219189461,0.1278,0.3611,1.0093,1.080
0.221749154,0.1399,0.3614,1.0277,1.098
0.224414769,0.1460,0.3614,1.0420,1.113
0.227036615,0.1500,0.3599,1.0577,1.127
0.229555615,0.1526,0.3623,1.0723,1.142
0.234274154,0.1509,0.3580,1.0976,1.164
0.236931,0.1490,0.3597,1.1088,1.175
0.240489154,0.1441,0.3572,1.1190,1.183
0.245128308,0.1164,0.3602,1.1319,1.194
0.250065231,0.0891,0.3680,1.1447,1.206
0.252559615,0.0764,0.3690,1.1442,1.205
0.258155077,0.0481,0.3687,1.1319,1.191
0.262908538,0.0307,0.3683,1.1200,1.179
0.267813231,0.0153,0.3614,1.1049,1.163
0.270716846,0.0085,0.3560,1.0965,1.153
0.279343,0.0041,0.3457,1.0841,1.138
0.283462077,0.0048,0.3311,1.0669,1.117
0.287604538,0.0151,0.3243,1.0734,1.121
0.307055385,0.0236,0.3218,1.0774,1.125
0.316427615,0.0430,0.3494,1.2574,1.306
0.320801769,-0.0181,0.4531,1.3360,1.411
0.333541538,-0.0212,0.4687,1.3490,1.428
0.339571,-0.0132,0.4745,1.3583,1.439
0.343387385,0.1309,0.3614,1.3544,1.408
0.346238385,0.1483,0.3418,1.3505,1.401
0.350867923,0.1791,0.3091,1.3432,1.390
0.355807385,0.1976,0.2844,1.3395,1.384
0.359029846,0.2028,0.2700,1.3412,1.383
0.363713846,0.2118,0.2411,1.3541,1.392
0.366423923,0.2150,0.2294,1.3637,1.399
0.371413231,0.2128,0.2077,1.3935,1.425
0.380476538,0.2091,0.1817,1.4313,1.458
0.384255077,0.1940,0.1490,1.4817,1.502
0.388458461,0.1815,0.1234,1.5086,1.524
0.40838,0.1770,0.1155,1.5184,1.533
0.418355077,0.0950,0.0987,1.5079,1.514
0.421291,0.0722,0.1109,1.4392,1.445
0.424358385,0.0686,0.1153,1.4231,1.429
0.428683077,0.0686,0.1174,1.3754,1.382
