# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001185923,0.0630,0.5388,1.3524,1.457
0.004187769,0.0781,0.5141,1.3578,1.454
0.008707077,0.0798,0.5097,1.3561,1.451
0.029525615,0.0700,0.5078,1.3478,1.442
0.035645308,0.0304,0.5165,1.3250,1.422
0.039468,-0.1468,0.6461,1.2417,1.407
0.043062846,-0.1165,0.6216,1.2398,1.392
0.047165923,-0.0474,0.5584,1.2346,1.356
0.049696923,-0.0135,0.5249,1.2354,1.342
0.054744077,0.0556,0.4596,1.2519,1.335
0.060062462,0.0889,0.4322,1.2666,1.341
0.064818539,0.1463,0.3841,1.3094,1.372
0.067533,0.1830,0.3487,1.3634,1.419
0.070113539,0.1920,0.3420,1.3915,1.446
0.073009231,0.1944,0.3343,1.4196,1.471
0.076768308,0.1933,0.3294,1.4487,1.498
0.079950462,0.1763,0.3289,1.5122,1.558
0.084854846,0.1495,0.3301,1.5485,1.590
0.087511769,0.1306,0.3255,1.5597,1.599
0.090954462,0.1123,0.3208,1.5634,1.600
0.095305,0.0742,0.3033,1.5578,1.589
0.100136,0.0283,0.2844,1.5399,1.566
0.102825539,0.0060,0.2734,1.5247,1.549
0.108308923,-0.0476,0.2541,1.4830,1.505
0.112949846,-0.0946,0.2365,1.4226,1.445
0.118477539,-0.1435,0.2241,1.3617,1.387
0.123473846,-0.1771,0.2162,1.2989,1.329
0.126387692,-0.1892,0.2140,1.2673,1.299
0.130925846,-0.2146,0.2106,1.2041,1.241
0.133565231,-0.2214,0.2089,1.1771,1.216
0.138282231,-0.2316,0.2089,1.1340,1.176
0.142485923,-0.2346,0.2101,1.1181,1.162
0.145756077,-0.2241,0.2113,1.0870,1.130
0.148259385,-0.2165,0.2074,1.0755,1.117
0.153249,-0.1973,0.2148,1.0494,1.089
0.155941,-0.1855,0.2155,1.0387,1.077
0.163481846,-0.1710,0.2131,1.0326,1.068
0.166038154,-0.1354,0.2071,1.0215,1.051
0.168643385,-0.1249,0.2077,1.0198,1.048
0.194496923,-0.1048,0.2069,1.0147,1.041
0.203796,-0.0310,0.1994,0.9570,0.978
0.209597231,-0.0261,0.1725,0.9066,0.923
0.213737539,-0.0274,0.1705,0.8979,0.914
0.223073616,-0.0281,0.1666,0.8896,0.905
0.228789846,-0.0330,0.1632,0.8686,0.884
0.231614846,-0.0408,0.1412,0.8108,0.824
0.234547154,-0.0442,0.1365,0.7987,0.811
0.239560077,-0.0401,0.1199,0.7828,0.793
0.244575154,-0.0406,0.1153,0.7733,0.783
0.249227154,-0.0452,0.1041,0.7556,0.764
0.251778769,-0.0487,0.1024,0.7539,0.762
0.254697616,-0.0499,0.1020,0.7519,0.760
0.264293616,-0.0531,0.1045,0.7524,0.762
0.269583692,-0.0567,0.1038,0.7600,0.769
0.310088616,-0.0474,0.1020,0.7630,0.771
0.313105846,-0.0466,0.1024,0.7651,0.773
0.319134154,-0.0277,0.1278,0.7563,0.768
0.322526539,-0.0330,0.1514,0.7329,0.749
0.325644616,-0.0320,0.1586,0.7232,0.741
0.329616,-0.0333,0.1705,0.7172,0.738
0.332598539,-0.0313,0.1803,0.7118,0.735
0.337335462,-0.0354,0.1971,0.7060,0.734
0.340186462,-0.0337,0.2064,0.7034,0.734
0.353397846,-0.0279,0.2157,0.6992,0.732
0.387291769,0.0023,0.2719,0.7109,0.761
0.395397,0.0987,0.3179,0.8290,0.893
0.401752385,0.0801,0.3362,0.8658,0.932
0.405566846,0.0473,0.3538,0.8954,0.964
0.408758539,0.0329,0.3567,0.9017,0.970
0.430002539,0.0067,0.3680,0.9094,0.981
0.435759385,-0.0122,0.3695,0.9094,0.982
0.444111385,-0.0063,0.3494,0.8851,0.952
0.448175154,0.0265,0.3382,0.8798,0.943
0.453404923,0.0476,0.3380,0.8881,0.951
0.456089616,0.0595,0.3394,0.8937,0.958
0.465081308,0.0703,0.3420,0.8986,0.964
0.468546154,0.0910,0.3665,0.9362,1.010
0.471423692,0.0903,0.3770,0.9424,1.019
0.473930462,0.0874,0.3848,0.9511,1.030
0.497236308,0.0847,0.3963,0.9672,1.049
0.505744077,0.0517,0.4203,1.0322,1.116
0.511071769,0.0300,0.4117,1.0269,1.107
0.514646846,0.0121,0.4083,1.0147,1.094
0.518848385,-0.0007,0.3983,1.0063,1.082
0.521713539,-0.0051,0.3930,0.9981,1.073
0.527912692,-0.0100,0.3900,0.9970,1.071
0.531732616,-0.0191,0.3834,1.0049,1.076
0.536571385,-0.0210,0.3807,1.0205,1.089
0.539235692,-0.0222,0.3827,1.0366,1.105
0.544128923,-0.0208,0.3848,1.0552,1.123
0.546728077,-0.0252,0.3981,1.0927,1.163
0.551790462,-0.0525,0.4240,1.1305,1.209
0.554542154,-0.0782,0.4428,1.1489,1.234
0.564292,-0.1288,0.4955,1.1882,1.294
