# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001170539,-0.0660,0.2856,0.5824,0.652
0.006928385,-0.0596,0.2932,0.5904,0.662
0.013367769,-0.0567,0.3040,0.5999,0.675
0.016863077,-0.0271,0.3727,0.6806,0.776
0.019463769,-0.0240,0.3755,0.6882,0.784
0.024359769,-0.0193,0.3860,0.6950,0.795
0.029449308,-0.0179,0.3932,0.7016,0.804
0.031982539,-0.0176,0.3983,0.7111,0.815
0.034491692,-0.0193,0.4002,0.7167,0.821
0.039677231,-0.0228,0.4022,0.7216,0.826
0.045609539,-0.0305,0.4054,0.7255,0.832
0.051146539,-0.0340,0.4098,0.7278,0.836
0.054597615,-0.0543,0.4240,0.7376,0.852
0.057364,-0.0608,0.4313,0.7449,0.863
0.059911462,-0.0643,0.4391,0.7478,0.870
0.065005615,-0.0689,0.4506,0.7603,0.886
0.069897308,-0.0596,0.4638,0.7849,0.914
0.072477308,-0.0559,0.4701,0.7984,0.928
0.077403692,-0.0469,0.4738,0.8216,0.950
0.08002,-0.0391,0.4774,0.8348,0.962
0.084920385,-0.0247,0.4823,0.8627,0.989
0.087529308,-0.0196,0.4826,0.8749,0.999
0.090028615,-0.0135,0.4836,0.8886,1.012
0.093672077,-0.0068,0.4855,0.9082,1.030
0.097778539,-0.0056,0.4902,0.9301,1.051
0.102588308,-0.0061,0.4970,0.9574,1.079
0.105162462,-0.0117,0.5021,0.9680,1.091
0.107697615,-0.0181,0.5090,0.9765,1.101
0.110267462,-0.0244,0.5132,0.9819,1.108
0.112815385,-0.0313,0.5181,0.9881,1.116
0.117815385,-0.0459,0.5305,0.9946,1.128
0.120797,-0.0540,0.5327,0.9946,1.130
0.123788692,-0.0618,0.5376,0.9944,1.132
0.128615692,-0.0701,0.5415,0.9995,1.139
0.133362846,-0.0711,0.5400,1.0115,1.149
0.136143154,-0.0733,0.5391,1.0152,1.152
0.141271077,-0.0675,0.5339,1.0305,1.163
0.144627154,-0.0604,0.5281,1.0408,1.169
0.148516077,-0.0474,0.5273,1.0660,1.190
0.151151077,-0.0389,0.5217,1.0823,1.202
0.153783462,-0.0308,0.5161,1.1044,1.219
0.156347692,-0.0217,0.5139,1.1298,1.241
0.166222846,0.0004,0.5000,1.1901,1.291
0.171423077,0.0297,0.4860,1.2962,1.385
0.201648308,0.0583,0.4733,1.4106,1.489
0.212778539,-0.0645,0.5855,1.5220,1.632
0.219679154,-0.0909,0.5769,1.3991,1.516
0.223588385,-0.0584,0.5381,1.3370,1.442
0.227971154,-0.0466,0.5237,1.3218,1.423
0.231314462,-0.0261,0.5048,1.3016,1.396
0.236390846,-0.0088,0.4865,1.3001,1.388
0.241462769,0.0155,0.4711,1.3221,1.404
0.247681,0.0256,0.4648,1.3483,1.426
0.251615692,0.0640,0.4369,1.4189,1.486
0.256911154,0.0896,0.4135,1.4465,1.507
0.280503154,0.1080,0.3893,1.4753,1.530
