# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:46:36.831
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.176610,0.0827,-0.1302,-0.5934,0.61
0.186702,0.1084,-0.1270,-0.6910,0.71
0.199539,0.1729,-0.1641,-0.5979,0.64
0.207247,0.1586,-0.1526,-0.4326,0.49
0.218850,0.0364,-0.1504,0.0403,0.16
0.226816,-0.0110,-0.1924,0.2388,0.31
0.238828,-0.0590,-0.2254,0.3973,0.46
0.251194,-0.0231,-0.2077,0.5713,0.61
0.258311,0.0091,-0.1057,0.7807,0.79
0.273811,-0.1221,-0.0034,0.6671,0.68
0.282414,-0.1622,-0.0025,0.5281,0.55
0.290472,-0.2125,0.0099,0.3406,0.40
0.298775,-0.2201,0.0204,0.1039,0.24
0.314306,-0.1053,-0.0792,-0.0793,0.15
0.322752,-0.0934,-0.0686,-0.1294,0.17
0.330717,-0.1552,-0.0190,-0.1894,0.25
0.338878,-0.1886,0.0147,-0.2571,0.32
0.354264,-0.1689,-0.0568,-0.4298,0.47
0.362837,-0.0883,-0.1179,-0.5235,0.54
0.371676,-0.0007,-0.1338,-0.5154,0.53
0.379626,0.0465,-0.1459,-0.4818,0.51
0.389633,0.1106,-0.1885,-0.4008,0.46
0.396633,0.1361,-0.2307,-0.2985,0.40
0.410428,0.0599,-0.1297,-0.1578,0.21
0.420822,0.0159,-0.1142,-0.1669,0.20
0.434226,-0.0471,-0.0845,-0.2463,0.26
0.443155,-0.0128,-0.0700,-0.2187,0.23
0.451128,0.0263,-0.0607,-0.1885,0.20
0.459016,0.0505,0.0158,-0.2014,0.21
0.474427,0.0042,0.1174,-0.2711,0.30
0.486539,0.0038,0.0806,-0.2515,0.26
0.491735,0.0259,0.0372,-0.2058,0.21
0.500661,0.0421,0.0107,-0.1626,0.17
0.507267,0.0809,-0.0210,-0.1096,0.14
0.521648,0.1030,-0.1154,-0.0754,0.17
0.529848,0.0845,-0.0948,-0.0749,0.15
0.540850,0.0749,-0.0940,-0.1337,0.18
0.547430,0.0746,-0.1155,-0.2161,0.26
0.562824,0.0947,-0.1583,-0.4082,0.45
0.572324,0.1103,-0.1471,-0.5140,0.55
0.581352,0.0762,-0.1252,-0.5894,0.61
0.590723,0.0521,-0.1281,-0.6322,0.65
0.599124,0.0259,-0.1263,-0.6237,0.64
