# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001276615,-0.0293,0.3336,0.8218,0.887
0.004836692,-0.0377,0.3755,0.9213,0.996
0.009505538,-0.0315,0.3795,0.9280,1.003
0.015908384,-0.0219,0.3776,0.9367,1.010
0.019417846,-0.0166,0.3729,0.9469,1.018
0.024756923,-0.0039,0.3758,0.9562,1.027
0.029805846,0.0094,0.3780,0.9536,1.026
0.034475769,0.0241,0.3734,0.9406,1.012
0.036978846,0.0297,0.3753,0.9352,1.008
0.041876692,0.0449,0.3699,0.9274,0.999
0.044639769,0.0483,0.3695,0.9294,1.001
0.047246846,0.0514,0.3690,0.9271,0.999
0.049851154,0.0537,0.3699,0.9271,1.000
0.054838231,0.0510,0.3711,0.9385,1.010
0.059996,0.0439,0.3729,0.9614,1.032
0.063501,0.0388,0.3719,0.9709,1.040
0.067414846,0.0383,0.3783,0.9878,1.058
0.072372923,0.0353,0.3804,1.0107,1.081
0.077688384,0.0326,0.3877,1.0418,1.112
0.082468692,0.0344,0.3961,1.0665,1.138
0.085248615,0.0278,0.4005,1.0750,1.148
0.089968077,0.0258,0.4073,1.1012,1.174
0.092756923,0.0246,0.4086,1.1126,1.186
0.095342846,0.0214,0.4100,1.1227,1.195
0.099763461,0.0204,0.4100,1.1312,1.203
0.102704077,0.0136,0.4122,1.1457,1.218
0.105351077,0.0141,0.4142,1.1540,1.226
0.107882769,0.0121,0.4142,1.1566,1.229
0.117516,0.0163,0.4122,1.1662,1.237
0.120420615,0.0405,0.3990,1.1923,1.258
0.125551077,0.0591,0.3858,1.2139,1.275
0.130359769,0.0724,0.3714,1.2326,1.289
0.133032615,0.0722,0.3702,1.2439,1.300
0.135647077,0.0703,0.3699,1.2593,1.314
0.140496615,0.0519,0.3930,1.2943,1.354
0.147031692,0.0173,0.4345,1.3329,1.402
0.150731461,0.0041,0.4743,1.3686,1.448
0.153723692,0.0092,0.4858,1.3835,1.466
0.158210154,0.0449,0.4748,1.4128,1.491
0.164120308,0.0733,0.4555,1.4274,1.500
0.172998461,0.1001,0.4301,1.4348,1.501
0.178021538,0.1331,0.3837,1.4450,1.501
0.181635769,0.1673,0.3208,1.4450,1.490
0.186697538,0.1663,0.3073,1.4443,1.486
0.191517846,0.1553,0.2928,1.4382,1.476
0.194096384,0.1485,0.2870,1.4418,1.478
0.202448615,0.1414,0.2814,1.4478,1.482
0.206178769,0.1269,0.2539,1.4543,1.482
0.208791692,0.1287,0.2460,1.4548,1.481
0.228054538,0.1329,0.2304,1.4518,1.476
0.238130231,0.1218,0.1730,1.4196,1.435
0.242237308,0.0838,0.1771,1.3817,1.396
0.247478154,0.0673,0.1857,1.3586,1.373
0.251900077,0.0607,0.1879,1.3314,1.346
0.256853846,0.0556,0.1840,1.2918,1.306
0.259806231,0.0559,0.1830,1.2722,1.287
0.264416615,0.0630,0.1707,1.2305,1.244
0.267077308,0.0642,0.1673,1.2097,1.223
0.269511769,0.0666,0.1661,1.1901,1.203
0.272215077,0.0691,0.1649,1.1752,1.189
0.277146231,0.0747,0.1570,1.1405,1.154
0.280831154,0.0764,0.1546,1.1200,1.133
0.284615154,0.0877,0.1524,1.0892,1.103
0.287147769,0.0918,0.1490,1.0738,1.088
0.292158846,0.0987,0.1373,1.0528,1.066
0.302301538,0.1045,0.1253,1.0398,1.053
0.305494846,0.1125,0.1048,1.0230,1.034
0.310004384,0.1125,0.0945,1.0142,1.025
0.336035384,0.1125,0.0938,1.0107,1.021
0.345258538,0.0735,0.1125,0.9631,0.972
0.351479692,0.0432,0.1307,0.9438,0.954
0.355632308,0.0312,0.1419,0.9255,0.937
0.360527692,0.0197,0.1495,0.9135,0.926
0.384101,0.0111,0.1537,0.9128,0.926
0.388047769,0.0139,0.1764,0.8194,0.838
0.390841308,0.0167,0.1749,0.8059,0.825
0.393548384,0.0214,0.1732,0.7933,0.812
0.396501308,0.0251,0.1759,0.7801,0.800
0.404919384,0.0285,0.1774,0.7681,0.789
0.411152615,0.0332,0.1784,0.7558,0.777
0.429096923,0.0547,0.1854,0.7004,0.727
0.436143461,0.0498,0.1952,0.6471,0.678
0.440911692,0.0393,0.2064,0.6351,0.669
0.443677538,0.0358,0.2074,0.6351,0.669
0.449165308,0.0324,0.2120,0.6349,0.670
0.453776,0.0285,0.2145,0.6368,0.673
0.458515769,0.0251,0.2115,0.6412,0.676
0.461238154,0.0248,0.2138,0.6459,0.681
0.466699077,0.0248,0.2148,0.6488,0.684
0.471123461,0.0278,0.2106,0.6537,0.687
0.476925846,0.0268,0.2091,0.6571,0.690
0.481432,0.0258,0.2118,0.6626,0.696
0.488077231,0.0223,0.2201,0.6743,0.710
0.491791077,0.0183,0.2273,0.6887,0.725
0.494661,0.0163,0.2338,0.6918,0.730
0.502842461,0.0114,0.2348,0.6916,0.730
0.506313923,0.0018,0.2621,0.7116,0.758
0.508898154,-0.0012,0.2668,0.7158,0.764
0.512270461,0.0000,0.2717,0.7192,0.769
0.531949538,-0.0019,0.2775,0.7199,0.772
0.541382769,-0.0019,0.3259,0.7610,0.828
0.544356615,0.0067,0.3443,0.7810,0.854
0.547989231,0.0111,0.3497,0.7873,0.862
0.551725,0.0221,0.3626,0.7947,0.874
0.556755461,0.0349,0.3736,0.8069,0.890
0.559539769,0.0424,0.3797,0.8152,0.900
0.572397846,0.0507,0.3841,0.8231,0.910
0.577710538,0.0635,0.3930,0.8355,0.925
0.581699692,0.0935,0.4122,0.8928,0.988
0.584557923,0.1043,0.4161,0.9157,1.011
0.590079077,0.1106,0.4200,0.9469,1.042
0.594672923,0.1113,0.4268,0.9729,1.068
0.601977231,0.1123,0.4289,0.9868,1.082
0.607241846,0.1013,0.4293,1.0193,1.111
0.610352923,0.0952,0.4369,1.0382,1.130
0.616082154,0.0943,0.4357,1.0428,1.134
0.622571385,0.0820,0.4354,1.0457,1.136
0.627721,0.0603,0.4415,1.0447,1.136
0.635127154,0.0574,0.4425,1.0428,1.134
0.637638154,0.0414,0.4454,1.0301,1.123
0.640160385,0.0329,0.4477,1.0282,1.122
0.642837,0.0270,0.4503,1.0257,1.121
0.647962538,0.0143,0.4575,1.0389,1.135
0.652922461,0.0114,0.4673,1.0685,1.166
0.655470461,0.0121,0.4680,1.0848,1.181
0.660420923,0.0153,0.4629,1.1239,1.216
0.665171154,0.0209,0.4557,1.1498,1.237
0.668164077,0.0312,0.4369,1.2048,1.282
0.673104308,0.0514,0.4176,1.2703,1.338
0.675700385,0.0607,0.4068,1.2984,1.362
0.678311769,0.0656,0.3963,1.3287,1.388
0.682755385,0.0666,0.3868,1.3553,1.411
0.685849923,0.0595,0.3804,1.4028,1.455
0.690748385,0.0297,0.3827,1.4372,1.488
0.693487692,0.0109,0.3888,1.4487,1.500
0.702446461,-0.0144,0.4007,1.4597,1.514
0.706273,-0.1474,0.4907,1.4548,1.542
0.708848923,-0.1747,0.5117,1.4504,1.548
0.715370231,-0.1931,0.5300,1.4431,1.549
0.729028692,-0.1703,0.5151,1.4052,1.506
0.735314154,-0.0675,0.4179,1.3334,1.399
0.738908308,0.0016,0.3734,1.2989,1.351
0.742046154,0.0244,0.3585,1.2992,1.348
0.747841231,0.0642,0.3331,1.3082,1.351
0.751348385,0.0817,0.3176,1.3311,1.371
0.754197538,0.0871,0.3126,1.3439,1.382
0.756968,0.0889,0.3052,1.3539,1.391
0.772010231,0.0869,0.3020,1.3763,1.412
0.779291077,0.0789,0.3057,1.3861,1.422
0.783045231,-0.0450,0.3231,1.3986,1.436
0.786832385,-0.0939,0.3247,1.3766,1.418
0.789673538,-0.1165,0.3240,1.3605,1.403
0.794780308,-0.1593,0.3176,1.3226,1.370
0.802675077,-0.1767,0.3147,1.2989,1.348
0.811224923,-0.2234,0.2905,1.2041,1.259
0.829084692,-0.2388,0.2783,1.1374,1.195
0.835579769,-0.2537,0.2416,1.0130,1.072
0.839638461,-0.2385,0.2226,0.9727,1.026
0.842137,-0.2309,0.2145,0.9636,1.014
0.847537231,-0.2163,0.1952,0.9516,0.995
0.852214769,-0.1973,0.1759,0.9420,0.978
0.854800077,-0.1843,0.1661,0.9411,0.973
0.857401538,-0.1728,0.1612,0.9450,0.974
0.860220692,-0.1620,0.1551,0.9453,0.972
0.865412308,-0.1440,0.1378,0.9469,0.968
0.869821,-0.1310,0.1321,0.9490,0.967
0.872578769,-0.1207,0.1265,0.9502,0.966
0.877534231,-0.1093,0.1167,0.9534,0.967
0.880738231,-0.1029,0.1099,0.9538,0.966
0.885263154,-0.0874,0.0980,0.9538,0.963
0.887842461,-0.0850,0.0940,0.9543,0.963
0.893135769,-0.0787,0.0864,0.9460,0.953
0.903340077,-0.0773,0.0828,0.9401,0.947
0.911286538,-0.0713,0.0657,0.9040,0.909
0.927702846,-0.0745,0.0633,0.8744,0.880
0.933947077,-0.0872,0.0493,0.7798,0.786
0.937802538,-0.0941,0.0566,0.7360,0.744
0.940373615,-0.0953,0.0591,0.7246,0.733
0.947238846,-0.0941,0.0666,0.7053,0.715
0.950491385,-0.0890,0.0779,0.6913,0.701
0.953342154,-0.0855,0.0833,0.6859,0.696
0.957997538,-0.0729,0.0957,0.6801,0.691
0.960950769,-0.0652,0.1001,0.6791,0.690
0.980214231,-0.0559,0.1065,0.6811,0.692
0.989676692,-0.0386,0.1239,0.6808,0.693
0.993084077,0.0256,0.1991,0.6845,0.713
1.003745923,0.0300,0.2013,0.6823,0.712
1.006912,0.0383,0.2162,0.6823,0.717
1.010756077,0.0368,0.2262,0.6843,0.722
1.016993846,0.0373,0.2309,0.6896,0.728
1.020902538,0.0349,0.2429,0.6945,0.737
1.023473846,0.0339,0.2475,0.7026,0.746
1.026021231,0.0339,0.2521,0.7102,0.754
1.032927692,0.0353,0.2556,0.7170,0.762
1.036074846,0.0351,0.2724,0.7498,0.799
1.041105231,0.0351,0.2807,0.7779,0.828
1.043653846,0.0324,0.2856,0.7891,0.840
1.047047154,0.0326,0.2912,0.8003,0.852
1.051319154,0.0353,0.3010,0.8285,0.882
1.053847385,0.0316,0.3049,0.8378,0.892
1.058670231,0.0241,0.3071,0.8529,0.907
1.061787461,0.0214,0.3122,0.8629,0.918
1.064476923,0.0111,0.3184,0.8717,0.928
1.068845615,-0.0042,0.3266,0.8822,0.941
1.074024923,-0.0219,0.3364,0.8868,0.949
1.076588692,-0.0286,0.3382,0.8849,0.948
1.080523461,-0.0349,0.3396,0.8812,0.945
1.084284,-0.0433,0.3357,0.8690,0.933
1.089076308,-0.0491,0.3315,0.8609,0.924
1.091700308,-0.0528,0.3269,0.8565,0.918
1.101907461,-0.0528,0.3252,0.8544,0.916
1.106550461,-0.0528,0.3231,0.8451,0.906
1.109462461,-0.0513,0.3238,0.8507,0.912
1.127859461,-0.0482,0.3271,0.8590,0.920
1.133339461,-0.0410,0.3315,0.9122,0.971
1.136778769,-0.0430,0.3420,0.9448,1.006
1.141845923,-0.0442,0.3467,0.9700,1.031
1.144488,-0.0447,0.3469,0.9832,1.044
1.147536308,-0.0452,0.3504,0.9968,1.058
1.151984923,-0.0438,0.3557,1.0191,1.080
1.154781538,-0.0469,0.3623,1.0291,1.092
1.157076692,-0.0491,0.3660,1.0408,1.104
1.160120923,-0.0531,0.3707,1.0518,1.117
1.172228923,-0.0577,0.3763,1.0594,1.126
1.177545,-0.0631,0.3853,1.0743,1.143
1.180226538,-0.0680,0.3995,1.0988,1.171
1.185105615,-0.0718,0.3946,1.1119,1.182
1.189771385,-0.0724,0.3876,1.1112,1.179
1.192825538,-0.0729,0.3851,1.1156,1.182
1.200070846,-0.0797,0.3809,1.1214,1.187
1.207217923,-0.0880,0.3900,1.1405,1.209
1.210058154,-0.0878,0.3993,1.1638,1.233
1.221122846,-0.0848,0.4032,1.1752,1.245
1.225215769,-0.0699,0.4210,1.2454,1.317
1.232577308,-0.0643,0.4242,1.2803,1.350
