# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 10:03:35.679
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008551,0.8955,0.9737,-1.5272,2.02
0.008646,0.6348,1.1255,-1.5866,2.05
0.020275,0.4283,1.2910,-1.3535,1.92
0.032468,0.5698,1.2263,-0.3686,1.40
0.040313,0.7701,1.1146,0.0675,1.36
0.048716,1.0320,0.8979,0.3045,1.40
0.056558,1.1633,0.7124,0.3407,1.41
0.071504,0.8494,0.6832,0.2581,1.12
0.082827,0.6406,0.8342,0.2097,1.07
0.089345,0.4719,0.9307,0.0963,1.05
0.096757,0.3885,0.9172,0.0350,1.00
0.111624,0.3277,0.7004,-0.0926,0.78
0.122593,0.3276,0.5743,-0.2300,0.70
0.130007,0.2868,0.5218,-0.3361,0.68
0.138531,0.2251,0.5605,-0.3489,0.70
0.152361,0.1356,0.6436,-0.3620,0.75
0.163689,0.1677,0.5561,-0.3070,0.66
0.172113,0.2115,0.4851,-0.2686,0.59
0.180350,0.2241,0.4663,-0.2011,0.56
0.187147,0.2071,0.5113,-0.0618,0.56
0.203023,0.2225,0.4738,-0.0367,0.52
0.207880,0.2177,0.4033,-0.0838,0.47
0.223589,0.1174,0.4087,-0.2796,0.51
0.231163,0.0802,0.4066,-0.4671,0.62
0.239714,0.0399,0.4021,-0.5233,0.66
0.247726,-0.0085,0.3809,-0.5896,0.70
0.264514,-0.1003,0.3134,-0.7623,0.83
0.271455,-0.0729,0.4029,-0.8166,0.91
0.279398,0.0292,0.4855,-0.7786,0.92
0.288052,0.1836,0.4960,-0.7328,0.90
0.298533,0.3460,0.4644,-0.6407,0.86
0.311942,0.4645,0.3826,-0.4680,0.76
0.321120,0.4062,0.3589,-0.4658,0.71
0.330832,0.3377,0.3470,-0.5426,0.73
0.338776,0.2815,0.3514,-0.6053,0.75
0.352153,0.1243,0.4262,-0.6990,0.83
0.363451,0.0825,0.4433,-0.6512,0.79
0.371673,0.0788,0.4412,-0.5136,0.68
0.379514,0.1218,0.4903,-0.1013,0.52
0.387692,0.1434,0.4099,0.3980,0.59
0.396921,0.2408,0.2588,0.7021,0.79
0.408132,0.3922,0.0328,0.9165,1.00
0.416446,0.3862,-0.0065,0.8463,0.93
0.432139,0.2389,0.1094,0.4767,0.54
0.439777,0.1842,0.2198,0.2393,0.37
0.448220,0.1553,0.2992,0.0049,0.34
0.456339,0.1940,0.3993,-0.2699,0.52
0.472547,0.3707,0.4892,-0.7033,0.93
0.481696,0.4548,0.5136,-0.8919,1.13
0.488429,0.4807,0.5657,-1.0853,1.31
0.496718,0.4516,0.6060,-1.1066,1.34
0.512714,0.4822,0.6356,-0.6634,1.04
0.522641,0.5458,0.5916,-0.4419,0.92
0.529879,0.6128,0.5598,-0.2802,0.88
0.537384,0.7216,0.5918,-0.0438,0.93
0.554021,0.7447,0.6316,0.0529,0.98
0.566005,0.8505,0.5963,-0.0500,1.04
0.572287,0.8101,0.5803,-0.1873,1.01
0.580763,0.7452,0.6116,-0.3477,1.02
0.588866,0.6708,0.6892,-0.4529,1.06
0.604338,0.5319,0.6462,-0.4893,0.97
0.610323,0.4977,0.5753,-0.4640,0.89
0.616725,0.4832,0.4985,-0.4103,0.81
0.633286,0.3642,0.4321,-0.5098,0.76
0.642852,0.3301,0.4247,-0.6393,0.84
0.650814,0.3035,0.4297,-0.7601,0.92
0.657936,0.2589,0.4581,-0.7816,0.94
0.674341,0.2603,0.4000,-0.6010,0.77
0.683716,0.2694,0.3514,-0.4458,0.63
0.690502,0.2455,0.3053,-0.2500,0.46
0.697191,0.2238,0.2740,-0.0895,0.36
0.706329,0.2092,0.2296,-0.0307,0.31
0.721895,0.0853,0.2806,-0.0760,0.30
0.733716,0.0426,0.3431,-0.0796,0.35
0.741163,0.0502,0.3222,-0.1495,0.36
0.748458,0.1306,0.2913,-0.3150,0.45
0.757536,0.1929,0.2778,-0.4207,0.54
0.769497,0.2136,0.2768,-0.5529,0.65
0.778294,0.1801,0.2633,-0.5013,0.59
0.791881,0.1347,0.2428,-0.3931,0.48
0.800008,0.0962,0.1855,-0.2449,0.32
0.809672,0.0849,0.1714,-0.2140,0.29
