# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:47:11.054
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005033,0.3316,-0.2777,0.2640,0.51
0.011382,0.0449,0.0931,-0.1441,0.18
0.016838,-0.2537,0.2390,-0.4078,0.54
0.030931,-0.2444,0.0665,-0.7100,0.75
0.038879,-0.0124,-0.0569,-0.6854,0.69
0.047659,0.1657,-0.0875,-0.6111,0.64
0.063185,0.2485,-0.0364,-0.4013,0.47
0.072160,0.1898,-0.0450,-0.3603,0.41
0.082524,0.1411,-0.0728,-0.3694,0.40
0.089080,0.1209,-0.1077,-0.4002,0.43
0.097012,0.0639,-0.1109,-0.3764,0.40
0.111492,-0.1514,-0.0424,-0.3762,0.41
0.122762,-0.2753,-0.0250,-0.3312,0.43
0.134129,-0.2763,-0.0375,-0.2775,0.39
0.141009,-0.1883,-0.1355,-0.1693,0.29
0.151215,-0.0819,-0.1983,0.0192,0.22
0.159535,-0.0747,-0.1214,0.0358,0.15
0.168132,-0.0553,-0.0631,-0.0254,0.09
0.183798,0.0307,-0.0451,-0.2683,0.27
0.190801,0.0897,-0.0578,-0.3769,0.39
0.198906,0.0919,-0.0676,-0.4283,0.44
0.207441,0.0644,-0.0426,-0.4375,0.44
0.223288,0.0718,-0.0530,-0.3203,0.33
0.231539,0.0606,-0.0715,-0.2752,0.29
0.239588,0.0691,-0.0556,-0.2548,0.27
0.247576,0.0201,-0.0294,-0.2397,0.24
0.263463,0.0026,-0.0069,-0.2637,0.26
0.273298,0.0180,-0.0051,-0.2434,0.24
0.279868,-0.0024,0.0046,-0.2453,0.25
0.289414,-0.0225,0.0099,-0.2498,0.25
0.296499,-0.0638,-0.0078,-0.2167,0.23
0.306637,-0.0880,-0.0606,-0.1171,0.16
0.319484,-0.0976,-0.2907,0.3365,0.46
0.332048,-0.0970,-0.2522,0.4334,0.51
0.340724,-0.0895,-0.1606,0.3905,0.43
0.346906,-0.0532,-0.1100,0.2730,0.30
0.361462,0.0412,-0.1103,0.0618,0.13
0.367915,0.0543,-0.1263,-0.3651,0.39
0.383251,0.0480,-0.0474,-0.5651,0.57
0.391083,-0.0009,-0.0570,-0.5716,0.57
