# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 10:04:00.219
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007802,-0.2413,-0.2026,-0.1208,0.34
0.016101,-0.3274,-0.1084,-0.0235,0.35
0.029404,-0.1005,-0.3225,0.1491,0.37
0.040587,0.0830,-0.4190,0.1536,0.45
0.046122,0.1932,-0.4138,0.1757,0.49
0.058759,0.2908,-0.3647,0.1819,0.50
0.065508,0.3465,-0.3238,0.1265,0.49
0.080502,0.4469,-0.3165,-0.0762,0.55
0.091081,0.3906,-0.2956,-0.2029,0.53
0.099549,0.3080,-0.2445,-0.2368,0.46
0.106382,0.2235,-0.2176,-0.2478,0.40
0.114638,0.1001,-0.2610,-0.2090,0.35
0.125544,-0.1441,-0.4523,-0.1437,0.50
0.133374,-0.2592,-0.4585,-0.0758,0.53
0.149773,-0.3239,-0.4263,-0.1680,0.56
0.157690,-0.2002,-0.3982,-0.3408,0.56
0.165660,-0.1012,-0.3694,-0.4997,0.63
0.172993,-0.0064,-0.3555,-0.5829,0.68
0.190191,0.1903,-0.3274,-0.5144,0.64
0.198203,0.2265,-0.3006,-0.3749,0.53
0.205635,0.2726,-0.2939,-0.2107,0.45
0.215564,0.3173,-0.3371,-0.0306,0.46
0.230211,0.3087,-0.3569,0.2674,0.54
0.240840,0.1972,-0.3494,0.3356,0.52
0.248020,0.0691,-0.3439,0.3666,0.51
0.256694,-0.0782,-0.3603,0.3796,0.53
0.264152,-0.1553,-0.3528,0.3554,0.52
0.277348,-0.1353,-0.2945,0.2098,0.39
0.289728,-0.0358,-0.2722,0.0801,0.29
0.297591,0.0682,-0.2350,0.0195,0.25
0.304646,0.1645,-0.2305,-0.0318,0.29
0.313886,0.2476,-0.2439,-0.0718,0.35
0.325899,0.2433,-0.1655,0.0932,0.31
0.334252,0.1641,-0.1477,0.1626,0.27
0.350307,0.1305,-0.2618,0.1512,0.33
0.358574,0.1109,-0.2813,0.0894,0.32
0.369944,0.1226,-0.2741,0.0234,0.30
0.374148,0.1694,-0.2679,-0.0756,0.33
0.383522,0.2227,-0.2556,-0.1407,0.37
0.398411,0.2421,-0.2375,-0.1720,0.38
0.406209,0.2666,-0.2633,-0.2385,0.44
0.416828,0.2711,-0.2510,-0.3337,0.50
