# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001235923,-0.0804,0.3138,0.8932,0.950
0.008176,-0.0589,0.3186,0.8954,0.952
0.010736616,-0.0604,0.3289,0.8896,0.950
0.015711692,-0.0626,0.3482,0.8726,0.942
0.018221154,-0.0648,0.3521,0.8641,0.935
0.020742769,-0.0708,0.3582,0.8541,0.929
0.027832231,-0.0765,0.3660,0.8490,0.928
0.030803923,-0.0890,0.3748,0.8392,0.923
0.036132,-0.0914,0.3804,0.8314,0.919
0.041107308,-0.0985,0.3834,0.8211,0.912
0.045944308,-0.1027,0.3853,0.8087,0.902
0.050899692,-0.0990,0.3876,0.8064,0.900
0.053603308,-0.0967,0.3905,0.8080,0.903
0.059144231,-0.0985,0.3956,0.8047,0.902
0.061831616,-0.0943,0.4002,0.8111,0.909
0.066138385,-0.0880,0.4051,0.8253,0.924
0.071127,-0.0816,0.4193,0.8583,0.959
0.073707,-0.0782,0.4240,0.8781,0.978
0.076213154,-0.0720,0.4277,0.8993,0.998
0.078799308,-0.0650,0.4313,0.9215,1.020
0.083635385,-0.0503,0.4386,0.9587,1.055
0.086327077,-0.0474,0.4384,0.9770,1.072
0.089137231,-0.0457,0.4376,0.9932,1.086
0.092968231,-0.0440,0.4386,1.0110,1.103
0.097358077,-0.0450,0.4438,1.0317,1.124
0.103737231,-0.0464,0.4559,1.0853,1.178
0.114514154,-0.0506,0.4594,1.0973,1.191
0.119738154,-0.0587,0.4640,1.1105,1.205
0.124263077,-0.0809,0.4755,1.1723,1.268
0.129215077,-0.0790,0.4689,1.1990,1.290
0.131831,-0.0782,0.4650,1.2075,1.296
0.134350385,-0.0782,0.4592,1.2176,1.304
0.140005154,-0.0757,0.4440,1.2317,1.311
0.144368923,-0.0750,0.4326,1.2481,1.323
0.146944923,-0.0741,0.4235,1.2556,1.327
0.149532616,-0.0720,0.4159,1.2612,1.330
0.152075308,-0.0699,0.4112,1.2684,1.335
0.163544231,-0.0677,0.3973,1.2920,1.353
0.167023385,-0.0377,0.3697,1.3565,1.407
0.172058769,-0.0217,0.3616,1.3924,1.439
0.175246692,-0.0168,0.3611,1.4077,1.453
0.179588,-0.0058,0.3665,1.4438,1.490
0.182083308,-0.0054,0.3716,1.4646,1.511
0.184620308,-0.0086,0.3809,1.4842,1.532
0.187136923,-0.0124,0.3930,1.5037,1.554
0.194966385,-0.0135,0.4039,1.5296,1.582
0.199832231,0.0388,0.4286,1.6224,1.679
0.202995308,0.0559,0.4244,1.6335,1.689
0.208746154,0.0828,0.3995,1.6396,1.690
0.212355923,0.1015,0.3604,1.6320,1.674
0.214942769,0.1111,0.3371,1.6259,1.664
0.217519385,0.1187,0.3086,1.6159,1.649
0.223436846,0.1248,0.2600,1.5853,1.611
0.227595308,0.1199,0.2194,1.5543,1.574
0.230078462,0.1120,0.1986,1.5389,1.556
0.232785539,0.1033,0.1840,1.5240,1.539
0.237707077,0.0920,0.1595,1.5017,1.513
0.245125539,0.0852,0.1486,1.4944,1.504
0.247647923,0.0779,0.1260,1.4678,1.475
0.250371077,0.0791,0.1190,1.4590,1.466
0.255345231,0.0786,0.1078,1.4436,1.450
0.258058154,0.0773,0.1033,1.4385,1.444
0.262817846,0.0737,0.0975,1.4240,1.429
0.265382385,0.0749,0.0980,1.4175,1.423
0.270384308,0.0764,0.1018,1.4047,1.410
0.274909769,0.0817,0.1045,1.3979,1.404
0.278079692,0.0915,0.1041,1.3840,1.391
0.282946769,0.1131,0.1053,1.3705,1.379
0.285494385,0.1248,0.1038,1.3619,1.372
0.288016308,0.1358,0.1011,1.3537,1.364
0.291917231,0.1502,0.0943,1.3481,1.360
0.297570154,0.1642,0.0857,1.3404,1.353
0.300855692,0.2098,0.0657,1.3169,1.335
0.320091077,0.2189,0.0596,1.3080,1.327
0.327062154,0.2274,0.0505,1.3041,1.325
0.330932923,0.2619,0.0014,1.2388,1.266
0.335873154,0.2492,0.0153,1.2276,1.253
0.338459308,0.2401,0.0202,1.2180,1.242
0.340986769,0.2325,0.0258,1.2075,1.230
0.343504308,0.2228,0.0330,1.1918,1.213
0.346065539,0.2118,0.0400,1.1777,1.197
0.350959385,0.1888,0.0549,1.1408,1.158
0.353596846,0.1803,0.0589,1.1235,1.139
0.356479,0.1690,0.0635,1.1019,1.117
0.361080616,0.1534,0.0730,1.0580,1.072
0.363704231,0.1411,0.0766,1.0350,1.047
0.368570385,0.1197,0.0867,0.9902,1.001
0.371235692,0.1096,0.0943,0.9667,0.977
0.373817154,0.1020,0.1013,0.9418,0.953
0.378769231,0.0833,0.1148,0.8915,0.903
0.383769231,0.0717,0.1206,0.8441,0.856
0.386346077,0.0715,0.1234,0.8216,0.834
0.392008539,0.0691,0.1229,0.7996,0.812
0.395690077,0.0623,0.1290,0.7588,0.772
0.398991616,0.0570,0.1429,0.7219,0.738
0.401761539,0.0539,0.1478,0.7057,0.723
0.406893769,0.0461,0.1539,0.6831,0.702
0.411617462,0.0434,0.1612,0.6666,0.687
0.414197231,0.0409,0.1617,0.6603,0.681
0.416771692,0.0417,0.1619,0.6552,0.676
0.419306154,0.0466,0.1644,0.6500,0.672
0.421926692,0.0488,0.1647,0.6456,0.668
0.426278077,0.0532,0.1647,0.6449,0.668
0.429271308,0.0603,0.1639,0.6498,0.673
0.431823077,0.0647,0.1639,0.6488,0.672
0.434485769,0.0656,0.1651,0.6510,0.675
0.441884616,0.0681,0.1647,0.6512,0.675
0.446930154,0.0728,0.1681,0.6547,0.680
0.451949846,0.0771,0.1668,0.6486,0.674
0.454515,0.0768,0.1695,0.6407,0.667
0.457256308,0.0789,0.1707,0.6286,0.656
0.460499,0.0798,0.1693,0.6197,0.647
0.464512308,0.0857,0.1619,0.5997,0.627
0.467160616,0.0877,0.1570,0.5894,0.616
0.473033154,0.0969,0.1437,0.5655,0.591
0.475685154,0.1008,0.1383,0.5543,0.580
0.478426769,0.1026,0.1304,0.5469,0.572
0.482194692,0.1040,0.1344,0.5261,0.553
0.487138077,0.1024,0.1327,0.5095,0.536
0.493636923,0.1094,0.1302,0.5076,0.535
0.497380231,0.1238,0.1214,0.5032,0.532
0.500020616,0.1272,0.1195,0.5083,0.537
0.502546462,0.1248,0.1206,0.5159,0.544
0.514221769,0.1189,0.1288,0.5228,0.551
0.519993231,0.1020,0.1463,0.5354,0.564
0.525041846,0.0554,0.1989,0.5934,0.628
0.527822385,0.0451,0.2136,0.6195,0.657
