# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:59:29.136
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007519,0.2084,-0.2702,-0.6363,0.72
0.022497,-0.0206,0.0993,-0.3554,0.37
0.030746,-0.0029,0.0185,0.0097,0.02
0.040037,0.0522,-0.0616,0.3685,0.38
0.047460,0.0874,-0.0903,0.5219,0.54
0.062409,0.0169,-0.1462,0.3461,0.38
0.071089,0.0202,-0.2206,0.1434,0.26
0.079253,0.0957,-0.2470,-0.1275,0.29
0.087642,0.1916,-0.2158,-0.4272,0.52
0.103730,0.2022,-0.1374,-0.7840,0.82
0.111053,0.1567,-0.0935,-0.8060,0.83
0.119191,0.0896,-0.0124,-0.7052,0.71
0.126956,0.0081,-0.0032,-0.5314,0.53
0.143634,-0.0219,-0.0765,-0.2015,0.22
0.153043,0.0784,-0.0550,-0.1824,0.21
0.160760,0.1500,-0.0323,-0.2155,0.26
0.169901,0.1717,0.0112,-0.2553,0.31
0.177975,0.1397,0.0210,-0.3165,0.35
0.187927,0.1739,0.0063,-0.3799,0.42
0.196646,0.2241,0.0112,-0.4410,0.49
0.207533,0.2500,-0.0213,-0.4690,0.53
0.220479,0.2434,-0.0648,-0.4364,0.50
0.231304,0.0997,-0.1799,-0.2408,0.32
0.239441,0.0493,-0.1611,-0.0920,0.19
0.247528,-0.0316,-0.1486,0.0516,0.16
0.256323,-0.0619,-0.1033,0.1165,0.17
0.271076,-0.0494,-0.0578,0.0426,0.09
0.280717,0.0006,-0.0200,-0.0002,0.02
0.288317,0.0713,0.0069,-0.0854,0.11
0.296967,0.1292,0.0234,-0.1654,0.21
0.311671,0.1492,-0.0372,-0.3014,0.34
0.323863,0.0681,-0.0887,-0.3247,0.34
0.329259,-0.0304,-0.1165,-0.2867,0.31
0.336376,-0.1364,-0.1593,-0.2016,0.29
0.351675,-0.2355,-0.1723,-0.0064,0.29
0.362066,-0.2464,-0.1566,0.0591,0.30
0.370127,-0.1593,-0.1400,0.0726,0.22
0.376936,-0.0750,-0.1065,0.0824,0.15
0.386972,-0.0252,-0.0630,0.0141,0.07
0.399710,-0.0510,-0.0406,-0.1802,0.19
0.410258,-0.0704,-0.0205,-0.2381,0.25
0.419577,-0.0687,0.0240,-0.2508,0.26
0.431523,-0.0707,0.0438,-0.1454,0.17
0.439936,-0.0219,0.0683,-0.0582,0.09
