# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:54:21.218
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011108,0.0038,-0.0555,0.0019,0.06
0.016111,-0.0664,-0.0182,-0.1298,0.15
0.022632,-0.0576,-0.0457,-0.2494,0.26
0.031034,-0.0225,-0.0652,-0.2758,0.28
0.042293,0.0257,-0.1071,-0.1404,0.18
0.053817,0.0555,-0.1489,0.1428,0.21
0.069009,0.0134,-0.1743,0.2147,0.28
0.074332,-0.0240,-0.1528,0.2201,0.27
0.081428,-0.0089,-0.1282,0.1592,0.20
0.093717,0.0483,-0.1479,-0.2113,0.26
0.102880,0.0765,-0.1568,-0.3545,0.40
0.119885,0.0554,-0.1314,-0.4807,0.50
0.126250,0.0018,-0.1203,-0.4187,0.44
0.133938,-0.0234,-0.0908,-0.3481,0.36
0.141766,0.0389,-0.0678,-0.3115,0.32
0.158054,-0.0378,-0.0415,-0.2132,0.22
0.165978,-0.0664,-0.0625,-0.1369,0.16
0.173970,-0.0699,-0.0767,-0.0652,0.12
0.182752,0.0102,-0.1207,-0.1222,0.17
0.191754,0.0458,-0.1510,-0.1619,0.23
0.206418,0.1334,-0.1559,-0.1746,0.27
0.215059,0.1210,-0.1283,-0.0901,0.20
0.222776,0.0939,-0.1175,-0.0390,0.16
0.237782,0.1508,-0.1202,-0.0155,0.19
0.249224,0.0811,-0.0865,-0.0907,0.15
0.256458,0.0124,-0.0245,-0.2328,0.23
0.265535,0.0034,-0.0437,-0.2697,0.27
0.273823,0.0270,-0.1006,-0.2806,0.30
0.283183,-0.0228,-0.1326,-0.2896,0.32
0.291077,-0.0681,-0.1449,-0.2631,0.31
0.301534,-0.0955,-0.1414,-0.1249,0.21
0.311457,-0.0809,-0.1030,-0.0626,0.15
0.326932,0.0536,-0.0777,-0.0785,0.12
0.334245,0.1216,-0.0767,-0.1518,0.21
0.342201,0.1630,-0.0755,-0.1917,0.26
0.358020,0.1074,-0.1033,-0.2435,0.29
0.366735,0.1046,-0.0648,-0.2892,0.31
0.375714,0.0980,-0.0730,-0.3045,0.33
0.383329,0.0386,-0.1135,-0.2990,0.32
0.397808,-0.0361,-0.1239,-0.2470,0.28
0.407095,-0.0383,-0.1369,-0.1670,0.22
0.416018,-0.0378,-0.1498,-0.0438,0.16
0.423168,-0.0576,-0.1398,0.1422,0.21
0.431690,-0.0418,-0.1598,0.2573,0.31
0.447870,-0.0321,-0.0921,0.4030,0.41
0.457359,0.0108,-0.0858,0.3404,0.35
0.468697,0.0503,-0.1119,0.2713,0.30
0.476455,0.0647,-0.1394,0.1623,0.22
0.483730,0.0456,-0.1310,0.0150,0.14
0.492134,0.0801,-0.0985,-0.1371,0.19
0.501466,-0.0163,-0.0429,-0.4978,0.50
0.517773,-0.0023,-0.0219,-0.5428,0.54
0.525974,0.0130,-0.0497,-0.5302,0.53
0.533908,0.0442,-0.0621,-0.5446,0.55
0.547010,0.1452,-0.0731,-0.4209,0.45
0.552386,0.1231,-0.0668,-0.2546,0.29
0.565647,0.0284,-0.1706,-0.0552,0.18
0.574433,0.0271,-0.1884,-0.0022,0.19
0.581726,0.0242,-0.1697,0.0039,0.17
0.598128,-0.0212,-0.1337,-0.1110,0.18
0.606085,-0.0214,-0.1071,-0.2093,0.24
0.614388,-0.0648,-0.0633,-0.2433,0.26
0.623978,-0.0601,-0.0452,-0.3135,0.32
0.634183,-0.0155,-0.0455,-0.2812,0.29
0.645913,0.0515,-0.0908,-0.0686,0.12
0.656614,0.0572,-0.1179,0.0166,0.13
0.669156,0.0344,-0.0914,0.0956,0.14
0.672340,0.0133,-0.0586,0.1726,0.18
0.681630,0.0016,-0.0265,0.2045,0.21
0.694588,-0.0029,-0.1153,0.0420,0.12
0.702951,0.0160,-0.1066,-0.0304,0.11
0.718702,0.0293,-0.1174,-0.1563,0.20
0.727075,-0.0109,-0.1076,-0.1528,0.19
0.736675,-0.0331,-0.1235,-0.1423,0.19
0.743560,-0.0447,-0.1241,-0.1276,0.18
0.760505,0.0153,-0.0778,-0.0657,0.10
0.766821,0.0396,-0.0844,-0.0420,0.10
0.778516,0.0514,-0.0770,-0.0230,0.10
0.783319,0.0453,-0.0443,0.0374,0.07
0.799836,0.0309,-0.0837,0.0698,0.11
0.813163,0.0112,-0.0868,-0.0204,0.09
0.813625,-0.0399,-0.0880,-0.1987,0.22
0.821946,-0.0025,-0.0864,-0.3151,0.33
0.836195,0.0490,-0.0789,-0.3866,0.40
0.843135,0.0688,-0.0959,-0.4520,0.47
0.855430,0.0759,-0.0919,-0.3955,0.41
0.870281,0.0367,-0.0939,-0.3206,0.34
0.878516,0.0534,-0.0798,-0.1562,0.18
0.892126,0.0611,-0.0964,-0.0802,0.14
0.899669,0.0350,-0.1134,-0.0015,0.12
0.902196,-0.0072,-0.1117,0.0344,0.12
0.911429,-0.0319,-0.1399,0.0853,0.17
0.926639,-0.0367,-0.1443,0.0477,0.16
0.935030,-0.0336,-0.1269,0.0234,0.13
0.942521,-0.0485,-0.0881,0.0685,0.12
0.960215,-0.0058,-0.0332,0.0469,0.06
0.967904,0.0173,-0.0303,0.0288,0.05
0.974334,0.0322,-0.0402,-0.0150,0.05
0.983524,0.0410,-0.0367,-0.1157,0.13
0.992466,0.0598,-0.0428,-0.2044,0.22
1.006922,0.0227,-0.0760,-0.3239,0.33
1.018230,-0.0102,-0.0983,-0.3378,0.35
1.026000,-0.0189,-0.1122,-0.3093,0.33
1.032849,0.0065,-0.1230,-0.2311,0.26
1.042101,0.0240,-0.1360,-0.1195,0.18
