# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001223692,-0.0068,0.3020,0.9819,1.027
0.005056692,0.0170,0.2842,0.9490,0.991
0.009740923,0.0176,0.2822,0.9416,0.983
0.012734462,0.0195,0.2842,0.9315,0.974
0.015275385,0.0204,0.2866,0.9280,0.971
0.020334462,0.0155,0.2942,0.9194,0.965
0.028164692,0.0124,0.3059,0.9120,0.962
0.047049615,0.0075,0.3152,0.9108,0.964
0.053217846,0.0031,0.3277,0.9162,0.973
0.066380692,-0.0330,0.3672,0.8832,0.957
0.070768077,-0.0574,0.3883,0.8849,0.968
0.073575385,-0.0577,0.3944,0.8891,0.974
0.077121846,-0.0599,0.3978,0.8932,0.980
0.082057231,-0.0669,0.4073,0.8930,0.984
0.085637846,-0.0701,0.4083,0.9015,0.992
0.088471692,-0.0718,0.4130,0.9020,0.995
0.095352923,-0.0797,0.4286,0.9174,1.016
0.098857923,-0.0711,0.4447,0.9382,1.041
0.103481,-0.0618,0.4462,0.9578,1.058
0.109752,-0.0525,0.4431,0.9746,1.072
0.113522462,-0.0494,0.4271,0.9876,1.077
0.115993538,-0.0454,0.4159,0.9898,1.075
0.118538846,-0.0398,0.4063,0.9883,1.069
0.121062231,-0.0352,0.3998,0.9921,1.070
0.123622462,-0.0342,0.3953,0.9932,1.069
0.127419769,-0.0349,0.3860,0.9905,1.064
0.131144923,-0.0379,0.3753,0.9844,1.054
0.133632923,-0.0420,0.3697,0.9819,1.050
0.136149615,-0.0454,0.3675,0.9853,1.053
0.142663385,-0.0547,0.3621,0.9946,1.060
0.146146769,-0.0643,0.3621,1.0073,1.072
0.148716,-0.0694,0.3631,1.0161,1.081
0.153751462,-0.0782,0.3667,1.0294,1.096
0.162703462,-0.0853,0.3721,1.0391,1.107
0.166493846,-0.0904,0.3729,1.0450,1.113
0.171402846,-0.0878,0.3680,1.0487,1.115
0.173861231,-0.0853,0.3662,1.0447,1.110
0.181868615,-0.0829,0.3662,1.0422,1.108
0.186488385,-0.0855,0.3658,1.0333,1.099
0.189017923,-0.0829,0.3658,1.0298,1.096
0.192561846,-0.0809,0.3683,1.0269,1.094
0.196584923,-0.0813,0.3662,1.0220,1.089
0.199157308,-0.0834,0.3675,1.0181,1.086
0.204045846,-0.0890,0.3626,1.0186,1.085
0.206621615,-0.0918,0.3646,1.0205,1.088
0.209654231,-0.0946,0.3662,1.0196,1.087
0.221105923,-0.1007,0.3695,1.0171,1.087
0.225254769,-0.1186,0.3783,1.0322,1.106
0.230965846,-0.1263,0.3714,1.0384,1.110
0.240602769,-0.1268,0.3665,1.0389,1.109
0.246566231,-0.1232,0.3580,1.0326,1.100
0.249383462,-0.1249,0.3455,1.0010,1.066
0.251921539,-0.1256,0.3476,0.9961,1.062
0.256950769,-0.1212,0.3413,0.9861,1.051
0.265149923,-0.1207,0.3441,0.9797,1.045
0.269541539,-0.1242,0.3538,0.9604,1.031
0.272135769,-0.1232,0.3521,0.9525,1.023
0.285108308,-0.1186,0.3499,0.9438,1.014
0.290243154,-0.1065,0.3467,0.9106,0.980
0.299111077,-0.1044,0.3453,0.9113,0.980
0.302297846,-0.0850,0.3382,0.8974,0.963
0.304902154,-0.0821,0.3369,0.8908,0.956
0.307462769,-0.0799,0.3377,0.8891,0.954
0.310263154,-0.0755,0.3345,0.8849,0.949
0.315035769,-0.0724,0.3320,0.8822,0.945
0.320085615,-0.0685,0.3269,0.8746,0.936
0.326409308,-0.0769,0.3262,0.8705,0.933
0.330469846,-0.0792,0.3238,0.8670,0.929
0.335039385,-0.0848,0.3245,0.8614,0.924
0.340036692,-0.0918,0.3262,0.8581,0.923
0.343223385,-0.0958,0.3277,0.8560,0.922
0.347689,-0.1009,0.3355,0.8612,0.930
0.350255385,-0.1009,0.3338,0.8609,0.929
0.355184077,-0.1032,0.3394,0.8619,0.932
0.365248,-0.1034,0.3387,0.8674,0.937
0.367992308,-0.1002,0.3331,0.8568,0.925
0.372844923,-0.0983,0.3208,0.8441,0.908
0.384494539,-0.0972,0.3213,0.8362,0.901
0.388010769,-0.0958,0.3198,0.8224,0.888
0.393648923,-0.0988,0.3257,0.8175,0.885
0.398069923,-0.1046,0.3296,0.8111,0.882
0.403010539,-0.1090,0.3357,0.8131,0.886
0.405643154,-0.1119,0.3399,0.8152,0.890
0.409146462,-0.1132,0.3443,0.8111,0.888
0.413172,-0.1141,0.3518,0.8084,0.889
0.415657615,-0.1156,0.3585,0.8106,0.894
0.420614846,-0.1151,0.3704,0.8201,0.907
0.423332077,-0.1151,0.3727,0.8199,0.908
0.426270539,-0.1121,0.3746,0.8241,0.912
0.447328615,-0.1090,0.3825,0.8370,0.927
0.453120385,-0.1078,0.3848,0.8480,0.937
0.455902769,-0.1044,0.4220,0.8935,0.994
0.458605539,-0.1044,0.4284,0.9023,1.004
0.477339154,-0.1070,0.4322,0.9128,1.016
0.480389,-0.1063,0.4338,0.9231,1.025
0.495600077,-0.0584,0.4359,0.9878,1.081
0.508302231,-0.0328,0.4244,1.0017,1.088
0.513401615,-0.0305,0.4359,1.0452,1.133
0.516363385,-0.0308,0.4422,1.0713,1.159
0.521418846,-0.0277,0.4550,1.1056,1.196
0.523966539,-0.0240,0.4596,1.1237,1.214
0.529094231,-0.0147,0.4676,1.1752,1.265
0.533954154,-0.0012,0.4741,1.2227,1.311
0.536606462,0.0087,0.4729,1.2439,1.331
0.544233923,0.0216,0.4669,1.2866,1.369
0.549194462,0.0409,0.4450,1.3321,1.405
0.551750846,0.0456,0.4347,1.3414,1.411
0.554535385,0.0561,0.4223,1.3485,1.414
0.566158846,0.0735,0.4063,1.3649,1.426
0.569140308,0.0964,0.3765,1.3881,1.441
0.572333846,0.1082,0.3707,1.3957,1.448
0.588657539,0.1209,0.3670,1.4074,1.460
0.596016692,0.2289,0.3648,1.5758,1.634
0.599713,0.2380,0.3816,1.6420,1.703
0.604645923,0.2164,0.4061,1.6862,1.748
0.609673923,0.2052,0.4345,1.7273,1.793
0.614700077,0.2059,0.4369,1.7376,1.803
0.619749923,0.2045,0.4174,1.7258,1.787
0.622285923,0.1991,0.4051,1.7132,1.772
0.625886769,0.1986,0.3858,1.7007,1.755
0.642578462,0.1875,0.3467,1.6733,1.719
0.646568077,0.1707,0.3218,1.6359,1.676
0.650085,0.0619,0.3315,1.4651,1.503
0.654939769,0.0351,0.3394,1.4103,1.451
0.664516692,0.0272,0.3418,1.3879,1.430
0.667766846,0.0326,0.3140,1.3101,1.348
0.670385846,0.0400,0.3017,1.2975,1.333
0.684520308,0.0574,0.2756,1.2715,1.302
0.687805308,0.1101,0.2138,1.2346,1.258
