# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001150385,-0.0342,0.1649,0.6605,0.682
0.004530385,-0.0277,0.1786,0.6290,0.654
0.007150077,-0.0217,0.1820,0.6232,0.650
0.010019308,-0.0186,0.1861,0.6137,0.642
0.014707693,-0.0095,0.1920,0.5999,0.630
0.020425847,0.0038,0.1966,0.5923,0.624
0.030055,0.0111,0.2006,0.5878,0.621
0.034769231,0.0160,0.2062,0.5755,0.612
0.037439385,0.0173,0.2077,0.5708,0.608
0.040055308,0.0187,0.2089,0.5694,0.607
0.044875308,0.0195,0.2111,0.5731,0.611
0.05136177,0.0155,0.2175,0.5704,0.611
0.055171616,0.0129,0.2285,0.5652,0.610
0.057762385,0.0131,0.2297,0.5674,0.612
0.060344,0.0139,0.2336,0.5692,0.615
0.063221462,0.0111,0.2365,0.5680,0.615
0.06781477,0.0124,0.2453,0.5620,0.613
0.070395077,0.0104,0.2495,0.5672,0.620
0.072919616,0.0114,0.2514,0.5662,0.620
0.076255308,0.0118,0.2519,0.5684,0.622
0.081232847,0.0109,0.2536,0.5743,0.628
0.09295877,0.0104,0.2548,0.5782,0.632
0.097707308,0.0094,0.2649,0.5850,0.642
0.100574077,0.0058,0.2832,0.6072,0.670
0.103104231,0.0023,0.2903,0.6132,0.678
0.105768616,-0.0017,0.2954,0.6230,0.689
0.109183693,-0.0063,0.2991,0.6300,0.697
0.113364539,-0.0091,0.3142,0.6471,0.719
0.115901539,-0.0103,0.3201,0.6564,0.730
0.121130154,-0.0122,0.3331,0.6776,0.755
0.127285154,-0.0124,0.3453,0.6964,0.777
0.131548,-0.0147,0.3523,0.7131,0.796
0.13627477,-0.0149,0.3590,0.7288,0.813
0.13902277,-0.0135,0.3616,0.7337,0.818
0.148486077,-0.0122,0.3660,0.7514,0.836
0.152629462,-0.0135,0.3721,0.7666,0.852
0.156371616,-0.0188,0.3736,0.7705,0.857
0.187998077,-0.0228,0.3802,0.7756,0.864
0.199371385,-0.0296,0.3807,0.8991,0.977
0.201847616,-0.0445,0.3773,0.9636,1.036
0.204643616,-0.0508,0.3853,0.9739,1.049
0.210270693,-0.0615,0.3970,0.9979,1.076
0.214555616,-0.0792,0.4122,1.0147,1.098
0.217790462,-0.0843,0.4203,1.0220,1.108
0.222233231,-0.0916,0.4338,1.0301,1.121
0.224765539,-0.0921,0.4389,1.0294,1.123
0.229823693,-0.0916,0.4418,1.0317,1.126
0.232579923,-0.1007,0.4494,1.0362,1.134
0.237905539,-0.1021,0.4564,1.0394,1.140
0.249004923,-0.1016,0.4592,1.0633,1.163
0.254653847,-0.0931,0.4567,1.1109,1.205
0.257540231,-0.0767,0.4518,1.1445,1.233
0.283805231,-0.0660,0.4450,1.1664,1.250
0.299487308,-0.0139,0.3958,1.3940,1.449
0.305696616,-0.0491,0.4156,1.4392,1.499
0.308595923,-0.1237,0.5452,1.4876,1.589
0.313340616,-0.1021,0.5291,1.4893,1.584
0.318714462,-0.0186,0.4592,1.4732,1.543
0.323455,0.0437,0.4063,1.4578,1.514
0.328931616,0.0784,0.3788,1.4475,1.498
0.333592847,0.1490,0.3081,1.4438,1.484
0.336177539,0.1609,0.2928,1.4487,1.487
0.338973231,0.1670,0.2768,1.4592,1.495
0.347789847,0.1656,0.2612,1.4863,1.518
