# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 10:01:27.423
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007289,-0.2514,0.1882,0.0281,0.32
0.014989,-0.3464,0.2221,0.1666,0.44
0.024559,-0.2057,0.0516,0.1991,0.29
0.032356,-0.0693,-0.0287,0.1619,0.18
0.049692,0.0044,-0.0782,0.0970,0.12
0.057233,-0.0002,-0.1047,0.0142,0.11
0.065448,-0.0128,-0.0732,-0.0089,0.07
0.074379,-0.0383,0.0084,-0.0439,0.06
0.088763,-0.0315,0.0640,-0.0893,0.11
0.097434,-0.0180,0.0997,-0.0540,0.11
0.105405,-0.0131,0.1098,-0.0518,0.12
0.113906,-0.0122,0.0856,-0.1283,0.15
0.121850,0.0060,0.0538,-0.1688,0.18
0.137305,-0.0962,-0.0364,-0.3676,0.38
0.149501,-0.1743,-0.0492,-0.4661,0.50
0.157040,-0.2249,-0.0474,-0.5672,0.61
0.164083,-0.2380,-0.0421,-0.6855,0.73
0.172071,-0.2424,-0.0282,-0.7803,0.82
0.185208,-0.2374,0.0347,-0.8050,0.84
0.197459,-0.2125,0.0756,-0.6873,0.72
0.205566,-0.0997,0.1045,-0.5490,0.57
0.214599,0.0091,0.0765,-0.3324,0.34
0.225608,0.1975,0.0333,0.2603,0.33
0.232898,0.2511,-0.1326,0.4275,0.51
0.249330,0.2660,-0.1597,0.3418,0.46
0.257362,0.2531,0.0001,0.1913,0.32
0.265430,0.1776,0.1306,0.0818,0.24
0.273474,0.1218,0.2683,-0.0087,0.29
0.289166,0.0850,0.3403,-0.0949,0.36
0.297182,0.0618,0.3129,-0.1552,0.35
0.307295,0.0528,0.2579,-0.1584,0.31
0.314947,0.0542,0.1726,-0.1284,0.22
0.324232,0.0463,0.1242,-0.0891,0.16
0.331750,0.0245,0.0780,-0.0114,0.08
0.345424,0.0349,0.0021,-0.0179,0.04
0.358803,0.0708,0.0048,-0.0515,0.09
0.365622,0.1178,0.0611,-0.0943,0.16
0.373026,0.1912,0.0810,-0.1560,0.26
0.384627,0.2465,0.0809,-0.2103,0.33
0.396450,0.2133,0.0466,-0.1980,0.29
0.404709,0.1572,0.0167,-0.1808,0.24
0.413126,0.0670,-0.0064,-0.1276,0.14
0.425332,-0.1246,-0.0209,-0.0774,0.15
0.433322,-0.1498,-0.0194,-0.1523,0.21
0.448639,-0.0746,0.0066,-0.2188,0.23
0.457396,-0.0117,-0.0543,-0.2369,0.24
