# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:45:40.524
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006363,-0.0039,0.0318,0.1205,0.12
0.014035,-0.0267,0.0037,0.2462,0.25
0.023541,-0.1148,-0.0476,0.1576,0.20
0.032770,-0.1325,-0.1180,-0.0151,0.18
0.037689,-0.0986,-0.1964,-0.2612,0.34
0.053824,-0.1237,-0.2102,-0.3155,0.40
0.062584,0.0968,-0.1303,-0.3863,0.42
0.071296,0.1629,-0.1668,-0.4331,0.49
0.079124,0.2013,-0.2065,-0.3925,0.49
0.092873,0.0824,-0.1736,-0.0542,0.20
0.103833,0.0573,-0.0709,0.1340,0.16
0.113527,0.0356,0.0025,0.2338,0.24
0.122491,0.0037,-0.0021,0.2532,0.25
0.148394,-0.0296,-0.0252,0.1827,0.19
0.165864,-0.0377,-0.1411,-0.3511,0.38
0.173511,0.0550,-0.1415,-0.3771,0.41
0.181802,0.1346,-0.1976,-0.3328,0.41
0.189988,0.2214,-0.2280,-0.3091,0.44
0.204982,0.1834,-0.1783,-0.1470,0.29
0.223195,0.1385,-0.1427,-0.0503,0.21
0.223363,0.0455,-0.0626,0.0329,0.08
0.231371,-0.0050,-0.0390,0.0286,0.05
0.239730,-0.0026,-0.0458,0.0331,0.06
0.253166,-0.0871,-0.0900,-0.0907,0.15
0.262753,-0.1343,-0.1068,-0.1484,0.23
0.270986,-0.1079,-0.1160,-0.1826,0.24
0.279684,-0.0870,-0.1151,-0.1622,0.22
0.288780,-0.0398,-0.0779,-0.1636,0.19
0.302194,0.1018,-0.1070,-0.2112,0.26
0.313000,0.0842,-0.1494,-0.2382,0.29
0.325682,0.0726,-0.1604,-0.1766,0.25
0.338074,0.0462,-0.1178,-0.1136,0.17
0.342191,-0.0270,-0.0969,-0.0242,0.10
0.350523,-0.0701,-0.0835,0.0679,0.13
0.365280,-0.0357,-0.1382,0.0316,0.15
0.373699,0.0183,-0.1701,-0.0492,0.18
0.381745,0.0152,-0.1787,-0.0839,0.20
0.389876,0.0247,-0.1713,-0.1202,0.21
0.402212,0.0418,-0.1506,-0.1629,0.23
0.413178,0.0764,-0.1262,-0.1739,0.23
0.421196,0.0532,-0.0962,-0.1639,0.20
0.429735,0.0230,-0.0446,-0.0941,0.11
0.445385,-0.0442,-0.0579,-0.1658,0.18
0.454048,-0.0299,-0.0809,-0.2247,0.24
0.461665,0.0189,-0.1146,-0.2344,0.26
0.471434,0.0908,-0.1255,-0.2117,0.26
0.478418,0.1482,-0.1416,-0.2243,0.30
0.493801,0.2199,-0.0938,-0.1972,0.31
0.503425,0.1705,-0.0569,-0.1209,0.22
0.511646,0.1059,-0.0748,-0.0952,0.16
0.524765,0.0121,-0.0783,-0.0695,0.11
0.530626,-0.0790,-0.0441,-0.0337,0.10
0.542064,-0.1076,-0.1068,-0.0014,0.15
0.549980,-0.0598,-0.1773,-0.0767,0.20
0.565633,-0.0041,-0.1434,-0.0914,0.17
0.573551,0.0351,-0.0648,-0.1412,0.16
0.582312,0.0517,-0.0416,-0.1765,0.19
0.590162,0.0722,-0.0691,-0.1851,0.21
0.606515,0.1041,-0.1087,-0.2151,0.26
0.615227,0.0848,-0.1442,-0.1915,0.25
0.621388,0.0995,-0.1240,-0.1972,0.25
0.630310,0.0888,-0.0882,-0.1609,0.20
0.639465,0.0389,-0.1015,-0.1161,0.16
0.655083,-0.0539,-0.1456,-0.0782,0.17
0.665351,-0.0957,-0.1460,-0.1155,0.21
0.672644,-0.1068,-0.1330,-0.0898,0.19
0.680115,-0.0940,-0.0997,-0.0294,0.14
0.688952,-0.0747,-0.0688,0.0044,0.10
0.698558,-0.0597,-0.0777,0.0036,0.10
0.710725,-0.0303,-0.1215,0.0273,0.13
0.725902,-0.0220,-0.1161,-0.0727,0.14
0.740284,-0.0376,-0.1190,-0.1707,0.21
0.748346,-0.0201,-0.1244,-0.2899,0.32
0.754270,-0.0460,-0.1387,-0.3710,0.40
0.765728,0.0254,-0.1306,-0.2990,0.33
0.774221,0.0524,-0.1194,-0.2161,0.25
0.781750,0.0538,-0.0965,-0.1472,0.18
0.790299,0.0541,-0.1014,-0.0531,0.13
0.806425,0.0776,-0.0785,0.0729,0.13
0.814448,0.0041,-0.0945,0.0504,0.11
0.822906,-0.0502,-0.1101,-0.0063,0.12
0.831394,-0.0940,-0.1266,-0.0526,0.17
0.839294,-0.0805,-0.1140,-0.1543,0.21
0.854578,-0.0135,-0.0911,-0.3070,0.32
0.867140,0.0612,-0.1040,-0.2484,0.28
0.875151,0.0883,-0.1102,-0.2323,0.27
0.882726,0.1191,-0.0934,-0.1934,0.25
0.894503,0.0253,-0.1129,-0.0576,0.13
0.906255,-0.0106,-0.1221,-0.0046,0.12
0.914240,0.0114,-0.1130,0.0180,0.12
0.922117,0.0238,-0.1004,0.0177,0.10
0.930294,0.0255,-0.1038,0.0260,0.11
0.939350,0.0410,-0.0966,-0.0148,0.11
0.951102,-0.0211,-0.0973,-0.1366,0.17
0.958910,-0.0428,-0.0876,-0.1634,0.19
0.974999,-0.0526,-0.0877,-0.1184,0.16
0.982197,-0.0415,-0.1042,-0.1117,0.16
0.991283,-0.0210,-0.1057,-0.1080,0.15
0.998728,-0.0082,-0.1182,-0.1315,0.18
1.015609,0.0441,-0.1205,-0.1816,0.22
1.025477,0.0751,-0.1059,-0.1648,0.21
1.032005,0.0642,-0.1143,-0.1200,0.18
1.038488,0.0611,-0.1176,-0.1186,0.18
1.055309,-0.0167,-0.1271,-0.0244,0.13
1.068124,-0.0368,-0.1203,0.0026,0.13
1.075848,-0.0480,-0.1249,0.0239,0.14
1.083364,-0.0531,-0.1382,0.0155,0.15
1.088800,-0.0694,-0.1285,-0.0351,0.15
1.102770,0.0220,-0.1298,-0.1041,0.17
1.114172,0.0691,-0.1210,-0.1277,0.19
1.123714,0.0575,-0.1234,-0.1662,0.21
1.131158,0.0232,-0.1056,-0.1866,0.22
1.139171,0.0304,-0.1036,-0.2126,0.24
1.150989,-0.0055,-0.1029,-0.1770,0.20
1.166055,-0.0426,-0.1148,-0.1194,0.17
1.175212,-0.0085,-0.0989,-0.1084,0.15
1.182922,-0.0391,-0.1228,-0.0989,0.16
1.190587,-0.0220,-0.1151,-0.0590,0.13
1.198803,-0.0079,-0.1097,0.0213,0.11
1.214245,0.0708,0.0055,0.0600,0.09
1.222573,0.0633,0.0411,0.0640,0.10
1.231296,0.0350,0.0038,-0.0125,0.04
1.239276,0.0376,-0.0766,-0.0889,0.12
1.256103,0.0695,-0.1810,-0.3286,0.38
1.266452,0.0907,-0.2076,-0.4078,0.47
1.274528,0.0881,-0.2139,-0.4088,0.47
1.279881,0.0893,-0.1891,-0.3401,0.40
1.295625,0.0744,-0.1065,-0.1730,0.22
1.307314,0.0603,-0.0579,-0.1133,0.14
1.313958,0.0196,-0.0386,-0.0795,0.09
1.321765,-0.0130,-0.0393,-0.0736,0.08
1.330399,-0.0174,-0.0413,-0.0498,0.07
1.339651,-0.0198,-0.0423,-0.0510,0.07
1.349207,-0.0274,-0.0252,-0.0537,0.07
1.359710,-0.0192,-0.0580,-0.0138,0.06
1.383907,0.0648,-0.1401,-0.1451,0.21
1.384041,0.0447,-0.1963,-0.2350,0.31
1.390416,0.0348,-0.1941,-0.2611,0.33
1.399214,0.0470,-0.1552,-0.2569,0.30
1.412140,0.0188,-0.1227,-0.2151,0.25
1.422660,-0.0095,-0.1247,-0.1362,0.18
1.431500,0.0014,-0.1284,-0.1373,0.19
1.438913,0.0000,-0.1109,-0.0829,0.14
1.454025,0.0315,-0.1034,-0.0259,0.11
1.463348,-0.0273,-0.0777,0.0199,0.08
1.472906,-0.1035,-0.0852,0.0964,0.17
1.480595,-0.1246,-0.0661,0.0911,0.17
1.494172,-0.1239,-0.0732,-0.0469,0.15
1.506208,-0.0889,-0.0810,-0.1428,0.19
1.514729,-0.0329,-0.0997,-0.2133,0.24
1.522688,0.0053,-0.1619,-0.3144,0.35
1.531045,0.0616,-0.1991,-0.4020,0.45
1.542964,0.1832,-0.1513,-0.3254,0.40
1.557268,0.1840,-0.1145,-0.1894,0.29
1.566791,0.1345,-0.0851,-0.1415,0.21
1.575084,0.0591,-0.0921,-0.1150,0.16
1.583152,-0.0221,-0.0864,-0.0631,0.11
1.591293,-0.0576,-0.0608,-0.0287,0.09
1.598513,-0.0806,-0.0849,0.0098,0.12
1.615152,-0.0829,-0.1311,0.0485,0.16
1.623280,-0.0895,-0.1302,-0.0459,0.16
1.631625,-0.0523,-0.1449,-0.1268,0.20
1.639601,0.0180,-0.1398,-0.1582,0.21
1.654837,0.0728,-0.1168,-0.1761,0.22
1.667965,0.1139,-0.0990,-0.1768,0.23
1.674819,0.1019,-0.0469,-0.1591,0.19
1.680516,0.0690,-0.0113,-0.1512,0.17
1.688720,0.0240,0.0170,-0.1146,0.12
1.703108,0.0226,-0.0624,-0.0800,0.10
1.715625,-0.0026,-0.1017,-0.0095,0.10
1.723309,0.0055,-0.1255,0.0167,0.13
1.731282,0.0439,-0.1465,0.0280,0.16
1.739719,0.0799,-0.1523,0.0359,0.18
1.748426,0.0692,-0.1593,-0.0773,0.19
1.758547,0.0018,-0.0818,-0.2657,0.28
1.776815,-0.0058,-0.0775,-0.3253,0.33
1.784986,0.0297,-0.1119,-0.2980,0.32
1.796420,0.0693,-0.1379,-0.2430,0.29
1.805264,0.0721,-0.1511,-0.1481,0.22
1.811335,0.0295,-0.1522,-0.0725,0.17
1.824321,-0.0054,-0.1406,-0.0523,0.15
1.833174,-0.0221,-0.0946,-0.1148,0.15
1.839573,-0.0337,-0.0871,-0.1747,0.20
1.854764,-0.0161,-0.0531,-0.1196,0.13
1.862578,-0.0106,-0.0724,-0.0785,0.11
1.872475,-0.0006,-0.0560,0.0466,0.07
1.881348,0.0083,-0.0574,0.1271,0.14
1.888632,0.0027,-0.0648,0.1728,0.18
1.903850,-0.0256,-0.1012,-0.0257,0.11
1.915850,-0.0405,-0.1217,-0.1130,0.17
1.922623,-0.0097,-0.1341,-0.1844,0.23
1.929777,0.0445,-0.1092,-0.2739,0.30
1.938528,0.0561,-0.1140,-0.3215,0.35
1.951889,0.1720,-0.0548,-0.2553,0.31
1.965602,0.1467,-0.0473,-0.1858,0.24
1.974355,0.0490,-0.0654,-0.0614,0.10
1.983212,0.0259,-0.0587,-0.0176,0.07
1.991519,-0.0018,-0.0613,0.0257,0.07
1.999293,0.0172,-0.0591,-0.0103,0.06
2.015299,0.0045,-0.1320,-0.1609,0.21
2.023329,-0.0129,-0.1357,-0.2367,0.27
2.031670,-0.0422,-0.1116,-0.2969,0.32
2.039951,-0.0594,-0.1261,-0.3327,0.36
2.055893,0.0388,-0.1211,-0.2989,0.32
2.065736,0.0661,-0.1186,-0.2649,0.30
2.072584,0.0755,-0.1177,-0.2173,0.26
2.079093,0.1043,-0.1045,-0.1867,0.24
2.089563,0.0919,-0.1084,-0.1558,0.21
2.104173,0.0753,-0.1014,-0.0252,0.13
2.115066,0.0334,-0.0861,-0.0019,0.09
2.122042,-0.0166,-0.0377,-0.0116,0.04
2.131770,-0.0862,-0.0142,-0.0300,0.09
2.138829,-0.1031,-0.0441,-0.0430,0.12
2.151874,-0.1180,-0.1020,-0.0643,0.17
