# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001443692,0.1253,0.1409,1.6559,1.667
0.007712077,0.1637,0.0989,1.6664,1.677
0.012076308,0.1732,0.0745,1.6584,1.669
0.018350154,0.1832,0.0466,1.6408,1.652
0.020948308,0.1908,0.0163,1.6090,1.620
0.029255077,0.1935,-0.0019,1.5858,1.598
0.032161923,0.2118,-0.0330,1.5182,1.533
0.035943692,0.2169,-0.0469,1.4765,1.493
0.038483692,0.2175,-0.0476,1.4551,1.472
0.048168692,0.2196,-0.0501,1.4350,1.453
0.058456,0.2194,-0.0503,1.3505,1.369
0.063037231,0.2118,-0.0422,1.2708,1.289
0.066413308,0.2059,-0.0415,1.2263,1.244
0.071281923,0.2061,-0.0381,1.1806,1.199
0.074740308,0.2049,-0.0366,1.1569,1.176
0.078907769,0.1971,-0.0310,1.1085,1.126
0.083903154,0.1942,-0.0207,1.0643,1.082
0.088958461,0.1871,-0.0127,1.0237,1.041
0.091651154,0.1812,-0.0073,1.0059,1.022
0.094055154,0.1779,-0.0012,0.9876,1.003
0.099377538,0.1651,0.0163,0.9553,0.970
0.101820308,0.1558,0.0239,0.9380,0.951
0.106646538,0.1488,0.0342,0.9208,0.933
0.112946154,0.1282,0.0566,0.8791,0.890
0.125292308,0.1204,0.0679,0.8674,0.878
0.129745538,0.1234,0.0764,0.8360,0.849
0.134336077,0.0962,0.1026,0.7341,0.747
0.136886231,0.0913,0.1097,0.7197,0.734
0.139420692,0.0862,0.1185,0.7074,0.722
0.143864615,0.0810,0.1216,0.6989,0.714
0.147040308,0.0686,0.1288,0.6831,0.698
0.149773,0.0607,0.1297,0.6750,0.690
0.154787385,0.0519,0.1351,0.6642,0.680
0.163872923,0.0488,0.1344,0.6623,0.678
0.167313308,0.0297,0.1314,0.6731,0.686
0.172238231,0.0239,0.1263,0.6815,0.694
0.176496,0.0207,0.1223,0.6874,0.699
0.179826461,0.0094,0.1165,0.7011,0.711
0.182514461,0.0058,0.1138,0.7116,0.721
0.187162538,0.0013,0.1067,0.7280,0.736
0.19004,0.0029,0.1062,0.7334,0.741
0.195123385,0.0062,0.1057,0.7486,0.756
0.199896077,0.0072,0.1074,0.7610,0.769
0.204872923,0.0153,0.1099,0.7715,0.779
0.208533615,0.0176,0.1138,0.7764,0.785
0.212875769,0.0209,0.1165,0.7791,0.788
0.217754846,0.0278,0.1211,0.7801,0.790
0.222707769,0.0316,0.1321,0.7744,0.786
0.225273615,0.0346,0.1388,0.7710,0.784
0.228143769,0.0351,0.1412,0.7640,0.778
0.230728077,0.0346,0.1456,0.7586,0.773
0.235400923,0.0312,0.1563,0.7417,0.759
0.238386769,0.0349,0.1605,0.7341,0.752
0.245956615,0.0378,0.1663,0.7255,0.745
0.250765615,0.0442,0.1808,0.6982,0.723
0.255369308,0.0446,0.1884,0.6831,0.710
0.280095154,0.0444,0.1928,0.6774,0.706
0.290278231,0.0368,0.2416,0.6938,0.736
0.299482461,0.0527,0.2585,0.7283,0.775
0.303852,0.0681,0.2749,0.7615,0.812
0.306379077,0.0688,0.2819,0.7703,0.823
0.308888,0.0649,0.2895,0.7737,0.829
0.311453231,0.0576,0.2984,0.7752,0.833
0.330480077,0.0525,0.3081,0.7813,0.842
0.338153615,0.0461,0.3182,0.7842,0.848
0.346916,0.0018,0.3765,0.7854,0.871
0.354303692,-0.0103,0.3990,0.7969,0.891
0.376445231,-0.0149,0.4159,0.8321,0.930
0.385650538,0.0207,0.4217,0.9709,1.059
0.388886154,0.0486,0.4333,1.0328,1.121
0.391381538,0.0522,0.4359,1.0398,1.129
0.394039769,0.0539,0.4415,1.0450,1.136
0.396607692,0.0535,0.4499,1.0533,1.147
0.401325231,0.0500,0.4704,1.0669,1.167
0.403900923,0.0483,0.4790,1.0711,1.174
0.408955385,0.0397,0.4978,1.0741,1.184
0.411477846,0.0373,0.5072,1.0790,1.193
0.414001923,0.0329,0.5175,1.0785,1.197
0.416669,0.0244,0.5263,1.0741,1.196
0.422123385,0.0185,0.5388,1.0678,1.196
0.425415154,0.0173,0.5398,1.0660,1.195
0.429378769,0.0160,0.5447,1.0680,1.199
0.434403077,0.0211,0.5456,1.0706,1.202
0.439269538,0.0248,0.5461,1.0841,1.214
0.445057923,0.0260,0.5481,1.0924,1.222
0.449671154,0.0280,0.5437,1.1393,1.263
0.454376308,0.0292,0.5305,1.1755,1.290
0.466856615,0.0332,0.5237,1.1965,1.307
0.469769231,0.0421,0.4914,1.2903,1.381
0.472421308,0.0427,0.4821,1.3052,1.392
0.480545,0.0397,0.4760,1.3131,1.397
0.485292077,0.0041,0.4479,1.3314,1.405
0.489904923,-0.0371,0.4459,1.3214,1.395
0.493036077,-0.0606,0.4445,1.3143,1.389
0.497687692,-0.1095,0.4562,1.3011,1.383
0.500376385,-0.1403,0.4685,1.2933,1.383
0.505404385,-0.1992,0.4970,1.2810,1.388
0.510427461,-0.2204,0.5072,1.2789,1.393
0.513206846,-0.2337,0.5175,1.2843,1.404
0.526643385,-0.2246,0.5107,1.3036,1.418
0.530505538,-0.1706,0.4664,1.3478,1.436
0.533196,-0.0151,0.2866,1.4220,1.451
0.538392308,0.0321,0.2255,1.4641,1.482
0.547393846,0.0488,0.2055,1.4844,1.499
0.555501615,0.0740,0.1717,1.5550,1.566
0.585320077,0.0527,0.1847,1.5727,1.584
0.592212615,-0.1170,0.2184,1.2943,1.318
0.597317,-0.1554,0.2169,1.1892,1.219
0.601234231,-0.1799,0.2192,1.1340,1.169
0.606284385,-0.1831,0.2204,1.0839,1.121
0.611027461,-0.1904,0.2180,1.0638,1.102
0.613967769,-0.2031,0.2233,1.0237,1.067
0.619068615,-0.1967,0.2218,1.0100,1.053
0.621982154,-0.1908,0.2206,1.0068,1.048
0.629991769,-0.1780,0.2220,1.0084,1.048
0.643152385,-0.1552,0.2164,1.0277,1.062
0.650217846,-0.1156,0.1962,1.0636,1.088
0.654317231,-0.1034,0.1910,1.0770,1.099
0.672732615,-0.0899,0.1766,1.0780,1.096
0.683481923,-0.0831,0.1344,1.0308,1.043
0.686860385,-0.0931,0.1062,0.9809,0.991
0.694195385,-0.1009,0.1018,0.9550,0.966
0.699015461,-0.1129,0.0994,0.9077,0.920
0.704357,-0.1266,0.0987,0.8651,0.880
0.711388385,-0.1300,0.0980,0.8470,0.863
0.732084923,-0.1400,0.0943,0.7798,0.798
0.738662154,-0.1393,0.0906,0.7381,0.757
0.745707461,-0.1095,0.0762,0.5853,0.600
0.750034538,-0.0978,0.0840,0.5680,0.582
0.755079461,-0.0909,0.0920,0.5723,0.587
0.782996923,-0.0858,0.0950,0.5765,0.591
0.790153615,-0.0103,0.1891,0.6818,0.708
0.795859461,0.0029,0.2218,0.7060,0.740
0.798757,0.0148,0.2402,0.7106,0.750
0.802810154,0.0253,0.2519,0.7162,0.760
0.805495769,0.0324,0.2585,0.7127,0.759
0.812067461,0.0407,0.2612,0.7092,0.757
0.815168308,0.0598,0.2732,0.6989,0.753
0.817994538,0.0654,0.2756,0.6933,0.749
0.823150769,0.0768,0.2832,0.6877,0.748
0.828783077,0.0801,0.2856,0.6857,0.747
0.833050538,0.0928,0.2907,0.6759,0.742
0.835610231,0.0950,0.2935,0.6771,0.744
0.847781538,0.0928,0.2966,0.6794,0.747
0.850602231,0.0776,0.3084,0.7006,0.769
0.855924385,0.0708,0.3103,0.7029,0.772
0.870501,0.0549,0.3218,0.7160,0.787
0.873464077,0.0099,0.3450,0.7542,0.829
0.884722231,0.0013,0.3518,0.7610,0.838
0.888192385,-0.0112,0.3724,0.8123,0.894
0.894142231,-0.0086,0.3695,0.8211,0.900
0.898345846,0.0016,0.3658,0.8374,0.914
0.903098846,0.0163,0.3592,0.8485,0.922
0.905796,0.0209,0.3574,0.8568,0.929
0.911062769,0.0272,0.3555,0.8632,0.934
0.919852692,0.0421,0.3602,0.8766,0.949
0.927022538,0.0525,0.3609,0.8835,0.956
0.930218231,0.0598,0.3609,0.8986,0.970
0.933246846,0.0579,0.3690,0.9352,1.007
0.936001846,0.0570,0.3760,0.9453,1.019
0.947444923,0.0483,0.3825,0.9643,1.038
0.950796385,0.0197,0.3951,1.0030,1.078
0.953417231,0.0118,0.3965,1.0122,1.087
0.968844385,0.0048,0.3912,1.0254,1.098
0.980552077,-0.0188,0.3497,1.0587,1.115
0.983894461,-0.0212,0.3315,1.0767,1.127
0.988655692,-0.0179,0.3266,1.0909,1.139
0.992756923,-0.0124,0.3287,1.0997,1.148
0.997531692,-0.0107,0.3387,1.1281,1.178
1.001424923,0.0099,0.3464,1.1757,1.226
1.003976,0.0190,0.3585,1.1967,1.249
1.006628923,0.0239,0.3732,1.2229,1.279
1.010242461,0.0285,0.3881,1.2512,1.310
1.014067769,0.0446,0.4081,1.2996,1.363
1.016715769,0.0478,0.4179,1.3218,1.387
1.021681231,0.0549,0.4333,1.3695,1.437
1.026488,0.0598,0.4384,1.3952,1.464
1.029477538,0.0742,0.4479,1.4499,1.519
1.034225538,0.0737,0.4640,1.4893,1.562
1.036881,0.0700,0.4767,1.5032,1.579
1.046993,0.0681,0.4980,1.5105,1.592
1.052179385,0.1265,0.4741,1.4773,1.557
1.055112077,0.1470,0.4555,1.4592,1.536
1.086039462,0.1637,0.4340,1.4382,1.511
1.096236615,0.1786,0.3711,1.2078,1.276
1.106219385,0.1783,0.3683,1.2146,1.282
1.116290538,0.1920,0.3377,1.2600,1.319
1.128455769,0.1933,0.3115,1.2899,1.341
1.131764385,0.1768,0.2455,1.3573,1.391
1.135746538,0.1739,0.2084,1.3808,1.407
1.140950462,0.1781,0.1800,1.3924,1.415
1.149251462,0.1856,0.1661,1.3954,1.417
1.154203462,0.2084,0.1043,1.3847,1.404
1.158948615,0.2118,0.0850,1.3705,1.389
1.174277538,0.2118,0.0762,1.3624,1.381
1.184385308,0.1810,0.0593,1.2825,1.297
1.188391077,0.1316,0.0654,1.2297,1.238
1.196154846,0.1216,0.0686,1.2185,1.226
1.201191462,0.0862,0.0752,1.1618,1.167
1.205617308,0.0742,0.0750,1.1307,1.136
1.214563385,0.0679,0.0779,1.1193,1.124
1.218924077,0.0434,0.0894,1.0618,1.066
1.223871769,0.0309,0.0999,1.0322,1.038
1.227005,0.0278,0.1060,1.0210,1.027
1.231273538,0.0246,0.1143,0.9902,0.997
1.233837923,0.0219,0.1218,0.9748,0.983
1.236382846,0.0176,0.1299,0.9611,0.970
1.247339692,0.0134,0.1427,0.9269,0.938
1.251438846,0.0092,0.1622,0.8595,0.875
1.254051769,0.0082,0.1666,0.8455,0.862
1.288274846,0.0080,0.1717,0.8136,0.832
1.296379769,0.0080,0.2001,0.6388,0.669
1.301524923,0.0097,0.1891,0.6158,0.644
1.304277846,0.0097,0.1854,0.6107,0.638
1.306907769,0.0136,0.1808,0.6056,0.632
1.310477,0.0134,0.1786,0.6019,0.628
1.331970154,0.0109,0.1703,0.5987,0.623
1.338024692,0.0102,0.1637,0.5983,0.620
1.350284692,-0.0244,0.1869,0.6310,0.659
1.355941231,-0.0254,0.2162,0.6884,0.722
1.391473231,-0.0379,0.2313,0.6955,0.734
1.393818462,-0.0032,0.2639,0.7385,0.784
1.400988615,0.0111,0.2863,0.7319,0.786
1.405227385,0.0202,0.3054,0.7004,0.764
1.410535769,0.0304,0.3068,0.6892,0.755
1.415139385,0.0473,0.3215,0.6596,0.735
1.418016923,0.0512,0.3277,0.6476,0.728
1.422676692,0.0637,0.3377,0.6266,0.715
1.427950769,0.0698,0.3436,0.6132,0.706
1.432864,0.1182,0.3521,0.5936,0.700
1.435544077,0.1360,0.3485,0.5887,0.697
1.438088308,0.1453,0.3455,0.5862,0.696
1.443795154,0.1362,0.3646,0.5867,0.704
1.447787154,0.1015,0.4196,0.5801,0.723
1.450461,0.1008,0.4447,0.5782,0.736
1.453040308,0.0982,0.4638,0.5799,0.749
1.469833923,0.0882,0.5076,0.5972,0.789
1.473185538,0.0703,0.5687,0.7356,0.932
1.512095154,0.0779,0.5662,0.7673,0.957
1.520260385,0.1488,0.4955,1.1603,1.270
1.530254846,0.1434,0.4992,1.1615,1.272
1.533413308,0.1231,0.5027,1.1545,1.265
1.535911769,0.1213,0.5027,1.1496,1.261
1.553037846,0.1031,0.5025,1.1457,1.255
1.556916077,0.0940,0.4636,1.2107,1.300
1.594701231,0.0906,0.4528,1.2312,1.315
1.604659385,-0.0767,0.5452,1.3367,1.446
1.612481923,-0.0333,0.5303,1.3703,1.470
1.616631385,0.0334,0.5085,1.4250,1.513
1.619144308,0.0551,0.4955,1.4441,1.528
1.621669,0.0773,0.4878,1.4619,1.543
1.625250538,0.0928,0.4765,1.4866,1.564
1.628895692,0.1199,0.4447,1.5445,1.612
1.631502231,0.1290,0.4281,1.5792,1.641
1.634356385,0.1362,0.4083,1.6151,1.671
1.639317,0.1378,0.3695,1.6706,1.717
1.643925231,0.1294,0.3516,1.6875,1.729
1.646595462,0.1045,0.3115,1.7021,1.734
1.649436385,0.0903,0.2966,1.7002,1.728
1.654419077,0.0568,0.2629,1.6890,1.710
1.657012692,0.0378,0.2478,1.6750,1.694
1.664710769,0.0195,0.2334,1.6575,1.674
1.682597,-0.0464,0.2001,1.5897,1.603
1.696834846,-0.1818,0.1979,1.3898,1.416
1.700147692,-0.2041,0.1954,1.2933,1.324
1.704430769,-0.1941,0.1879,1.2673,1.296
1.709616923,-0.1892,0.1798,1.2549,1.282
1.712069308,-0.1743,0.1732,1.2314,1.256
1.731128615,-0.1642,0.1661,1.2209,1.243
1.737448615,-0.1471,0.1566,1.2107,1.230
1.742632308,-0.0628,0.1311,1.1824,1.191
1.747439385,-0.0313,0.1270,1.1582,1.166
1.752368,-0.0184,0.1216,1.1332,1.140
1.755052692,-0.0132,0.1234,1.1173,1.124
1.762847077,-0.0107,0.1218,1.1041,1.111
1.767430462,-0.0142,0.1148,1.0511,1.057
1.772472923,-0.0259,0.1113,0.9895,0.996
1.776425615,-0.0320,0.1099,0.9678,0.975
1.779990769,-0.0459,0.1067,0.9213,0.929
1.782610154,-0.0518,0.1082,0.8981,0.906
