# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001772616,-0.0975,0.3384,0.8688,0.937
0.005477923,-0.0711,0.3426,0.8805,0.947
0.009383154,-0.0669,0.3441,0.8805,0.948
0.013137923,-0.0538,0.3480,0.8871,0.954
0.015672923,-0.0457,0.3513,0.8898,0.958
0.018359077,-0.0394,0.3501,0.8908,0.958
0.023072616,-0.0266,0.3521,0.9066,0.973
0.027787077,-0.0196,0.3531,0.9128,0.979
0.030826847,-0.0181,0.3648,0.9176,0.988
0.035673923,-0.0210,0.3736,0.9201,0.993
0.038269,-0.0232,0.3773,0.9215,0.996
0.044023154,-0.0230,0.3821,0.9243,1.000
0.050530154,-0.0249,0.3876,0.9240,1.002
0.053490462,-0.0342,0.4083,0.9360,1.022
0.058567462,-0.0384,0.4191,0.9438,1.033
0.061649539,-0.0396,0.4228,0.9473,1.038
0.066093616,-0.0417,0.4315,0.9506,1.045
0.068800923,-0.0454,0.4345,0.9485,1.044
0.073630154,-0.0445,0.4369,0.9509,1.047
0.076221539,-0.0442,0.4389,0.9529,1.050
0.081257308,-0.0435,0.4447,0.9499,1.050
0.083847154,-0.0442,0.4450,0.9548,1.054
0.086749616,-0.0447,0.4466,0.9546,1.055
0.09200777,-0.0428,0.4508,0.9497,1.052
0.096719693,-0.0379,0.4535,0.9555,1.058
0.101690231,-0.0298,0.4587,0.9546,1.059
0.104920693,-0.0261,0.4596,0.9562,1.061
0.123078231,-0.0240,0.4608,0.9631,1.068
0.129425,-0.0110,0.4640,0.9683,1.074
0.132219462,0.0256,0.4562,0.9692,1.072
0.135285924,0.0276,0.4567,0.9702,1.073
0.139780385,0.0295,0.4582,0.9781,1.080
0.147282154,0.0285,0.4604,0.9846,1.087
0.150217847,0.0268,0.4638,1.0022,1.105
0.157480077,0.0246,0.4657,1.0091,1.112
0.163218231,0.0153,0.4741,1.0257,1.130
0.167468308,0.0111,0.4843,1.0422,1.149
0.17000277,0.0124,0.4826,1.0508,1.156
0.177249539,0.0158,0.4750,1.0692,1.170
0.180128616,0.0244,0.4738,1.0872,1.186
0.185087693,0.0385,0.4676,1.0963,1.193
0.191113924,0.0446,0.4657,1.1139,1.208
0.19566377,0.0490,0.4667,1.1230,1.217
0.200255077,0.0556,0.4652,1.1398,1.232
0.205197308,0.0586,0.4616,1.1657,1.255
0.207736385,0.0632,0.4599,1.1816,1.270
0.210344924,0.0705,0.4552,1.1953,1.281
0.212850231,0.0789,0.4487,1.2136,1.296
0.215418231,0.0840,0.4428,1.2307,1.311
0.220303693,0.0943,0.4330,1.2673,1.343
0.222910231,0.0991,0.4261,1.2838,1.356
0.226202539,0.1028,0.4224,1.3011,1.372
0.230726154,0.1026,0.4159,1.3332,1.400
0.235186539,0.0999,0.4176,1.3705,1.436
0.238287385,0.0996,0.4205,1.3823,1.448
0.246721616,0.0889,0.4354,1.4118,1.480
0.251056,0.0764,0.4415,1.4329,1.501
0.255587154,0.0747,0.4364,1.4423,1.509
0.261996385,0.0813,0.4277,1.4434,1.508
0.265405924,0.1031,0.3872,1.4309,1.486
0.270295462,0.1226,0.3609,1.4157,1.466
0.272862847,0.1287,0.3457,1.4033,1.451
0.276734462,0.1351,0.3345,1.3942,1.440
0.280812924,0.1478,0.3130,1.3588,1.402
0.285476924,0.1478,0.3012,1.3248,1.367
0.28805977,0.1460,0.2952,1.3094,1.350
0.293983693,0.1458,0.2888,1.2908,1.331
0.298176077,0.1331,0.2734,1.2363,1.273
0.303180308,0.1294,0.2683,1.2127,1.249
0.316662154,0.1238,0.2700,1.2055,1.242
0.321578539,0.1187,0.2649,1.1918,1.227
0.325909924,0.1106,0.2632,1.1934,1.227
0.328628,0.1136,0.2607,1.2021,1.235
0.331143693,0.1180,0.2565,1.2121,1.245
0.336065308,0.1314,0.2460,1.2342,1.265
0.338741539,0.1390,0.2446,1.2410,1.273
0.346084693,0.1470,0.2443,1.2461,1.278
0.350886462,0.1707,0.2480,1.2551,1.291
0.35389077,0.1815,0.2487,1.2503,1.288
0.356379077,0.1900,0.2465,1.2481,1.286
0.372516077,0.1986,0.2458,1.2442,1.284
0.386367462,0.2196,0.2418,1.1874,1.232
0.389078847,0.2457,0.2145,1.0997,1.147
0.394533847,0.2485,0.2101,1.0855,1.133
0.399498539,0.2516,0.1871,1.0438,1.090
0.40406777,0.2485,0.1766,1.0147,1.059
0.407031462,0.2478,0.1725,1.0044,1.049
0.409798539,0.2460,0.1691,0.9921,1.036
0.412488924,0.2416,0.1635,0.9788,1.021
0.416924308,0.2392,0.1566,0.9534,0.995
0.42221177,0.2311,0.1495,0.9257,0.966
0.425562231,0.2287,0.1488,0.9138,0.954
0.42835977,0.2224,0.1486,0.9042,0.943
0.432127385,0.2150,0.1461,0.8842,0.922
0.437188385,0.2089,0.1468,0.8681,0.905
0.439735693,0.2066,0.1488,0.8627,0.899
0.446448693,0.1996,0.1483,0.8556,0.891
0.449562231,0.1930,0.1524,0.8395,0.875
0.454545924,0.1879,0.1583,0.8311,0.867
0.457237539,0.1871,0.1590,0.8269,0.863
0.470554539,0.1819,0.1624,0.8218,0.857
0.48427077,0.1575,0.1698,0.7994,0.832
0.487648308,0.1404,0.1703,0.7728,0.804
0.492505,0.1290,0.1761,0.7579,0.789
