# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 10:00:31.674
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.013833,-0.2989,0.2309,-0.3143,0.49
0.022329,-0.2449,0.1735,-0.4223,0.52
0.031925,-0.1045,0.0733,-0.4331,0.45
0.039749,0.0113,0.0312,-0.3350,0.34
0.048094,0.1085,0.0239,-0.2419,0.27
0.061331,0.1045,0.0111,-0.0020,0.11
0.073246,0.0796,0.0042,0.0617,0.10
0.080728,0.0826,0.0039,0.0403,0.09
0.089656,0.0823,-0.0062,-0.0640,0.10
0.101114,0.0505,0.0379,-0.3505,0.36
0.108986,0.0189,0.0843,-0.4472,0.46
0.117507,0.0087,0.0770,-0.5038,0.51
0.133500,0.0142,0.0174,-0.3532,0.35
0.143621,0.0366,0.0072,-0.2222,0.23
0.149385,0.0588,0.0004,-0.1347,0.15
0.157214,0.0684,-0.0109,-0.0641,0.09
0.173715,0.0765,-0.0212,0.0219,0.08
0.183932,0.1096,-0.0328,-0.0128,0.12
0.191955,0.1348,-0.0471,0.0030,0.14
0.199730,0.1809,-0.0287,0.0166,0.18
0.213208,0.1542,-0.0653,-0.0775,0.18
0.221950,0.1173,-0.0406,-0.1233,0.17
0.232279,0.0626,-0.0304,-0.1331,0.15
0.239955,0.0232,-0.0180,-0.1644,0.17
0.247497,-0.0139,-0.0151,-0.1765,0.18
0.261801,-0.0624,-0.0460,-0.2148,0.23
0.272357,-0.0796,-0.0695,-0.2270,0.25
0.281952,-0.0806,-0.0781,-0.2489,0.27
0.289225,-0.0577,-0.0884,-0.2616,0.28
0.297197,-0.0323,-0.1004,-0.2505,0.27
0.309433,-0.0044,-0.0532,-0.1979,0.20
0.317354,-0.0064,-0.0260,-0.1609,0.16
0.334259,0.0062,-0.0258,-0.1436,0.15
0.342821,0.0067,-0.0099,-0.1849,0.19
0.350010,-0.0044,0.0153,-0.2141,0.21
0.357389,-0.0510,0.0335,-0.2529,0.26
