# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:53:40.623
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003485,0.1907,-0.1996,-0.3649,0.46
0.016114,0.1672,-0.1093,-0.2212,0.30
0.024596,0.0807,-0.0910,-0.1181,0.17
0.039598,-0.0820,-0.1088,-0.0306,0.14
0.051654,-0.0782,-0.0477,0.0093,0.09
0.056105,-0.0211,-0.0094,0.0118,0.03
0.064961,-0.0257,-0.0085,0.0078,0.03
0.079806,-0.0697,-0.0487,-0.0458,0.10
0.090314,-0.0383,-0.0748,-0.0671,0.11
0.097565,-0.0391,-0.0939,-0.1123,0.15
0.105982,-0.0529,-0.1298,-0.1359,0.20
0.115359,-0.0508,-0.1601,-0.1097,0.20
0.128307,0.0115,-0.1641,-0.1083,0.20
0.140983,0.0577,-0.1998,-0.1956,0.29
0.149205,0.0706,-0.1868,-0.1780,0.27
0.157725,0.1307,-0.1440,-0.1849,0.27
0.165584,0.1491,-0.1125,-0.1707,0.25
0.174566,0.1205,-0.1143,-0.1136,0.20
0.184444,0.0275,-0.0996,-0.0659,0.12
0.196689,-0.0205,-0.1023,-0.0729,0.13
0.207991,0.0296,-0.0845,-0.0602,0.11
0.216299,0.0364,-0.1192,-0.0762,0.15
0.227738,0.0338,-0.1446,-0.0921,0.17
0.232790,0.0485,-0.1367,-0.0792,0.17
0.247235,0.0332,-0.1333,-0.0938,0.17
0.256088,0.0155,-0.1090,-0.1381,0.18
0.264021,0.0487,-0.0769,-0.1373,0.16
0.279976,0.0150,-0.1201,-0.1860,0.22
0.288110,-0.0076,-0.1379,-0.2118,0.25
0.295933,0.0138,-0.1264,-0.1971,0.23
0.304068,0.0287,-0.1150,-0.1561,0.20
0.319970,-0.0056,-0.0937,-0.1019,0.14
0.328435,-0.0132,-0.0912,-0.1222,0.15
0.336025,0.0071,-0.0749,-0.1972,0.21
0.344684,0.0130,-0.0589,-0.2193,0.23
0.354277,0.0202,-0.0431,-0.2413,0.25
0.367968,-0.0370,-0.0050,-0.2792,0.28
0.379899,-0.0939,-0.0251,-0.2475,0.27
0.386896,-0.1036,-0.0460,-0.2264,0.25
0.399853,-0.0658,-0.1048,-0.2632,0.29
0.409301,-0.0458,-0.1259,-0.1944,0.24
0.416321,-0.0120,-0.1225,-0.1043,0.16
0.424160,0.0114,-0.1317,-0.0115,0.13
0.441820,0.0303,-0.1256,0.1024,0.16
