# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 09:47:57.838
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.014452,0.1176,0.0912,-1.2548,1.26
0.022735,-0.5550,0.3894,-1.3173,1.48
0.031104,-0.5036,0.2999,-0.9760,1.14
0.040283,-0.1727,0.1074,-0.4991,0.54
0.047366,0.0336,-0.0605,-0.1040,0.12
0.056227,0.1247,-0.2049,0.2403,0.34
0.070703,0.0622,-0.3063,0.4338,0.53
0.084877,0.0095,-0.3787,0.4166,0.56
0.089180,0.1129,-0.4140,0.2862,0.52
0.096527,0.2638,-0.3461,0.1160,0.45
0.107530,0.3275,-0.2271,-0.1151,0.41
0.119165,0.1769,-0.0893,-0.5051,0.54
0.127165,0.0820,-0.0794,-0.6278,0.64
0.136348,0.0603,-0.0430,-0.6541,0.66
0.151113,0.0017,-0.0447,-0.4852,0.49
0.159529,0.0269,-0.0529,-0.3562,0.36
0.166575,0.0340,-0.0787,-0.2761,0.29
0.183274,0.0989,-0.2089,-0.1163,0.26
0.191454,0.1258,-0.2380,-0.0476,0.27
0.199420,0.0857,-0.2233,0.0223,0.24
0.207562,0.0265,-0.2198,0.0719,0.23
0.223049,0.0547,-0.0301,0.0153,0.06
0.232153,0.0349,-0.0123,-0.0944,0.10
0.242778,0.0484,-0.0425,-0.1943,0.20
0.248408,0.0938,-0.0748,-0.2466,0.27
0.256981,0.1328,-0.0534,-0.2542,0.29
0.270820,0.1445,-0.0070,-0.1475,0.21
0.281364,0.1274,-0.0158,-0.0858,0.15
0.289912,0.0343,-0.0307,-0.0010,0.05
0.298423,-0.0477,-0.0578,0.0026,0.08
0.311841,-0.0964,-0.1315,0.0980,0.19
0.318699,-0.0754,-0.1349,0.0916,0.18
0.327154,-0.0507,-0.0942,0.0072,0.11
0.343430,-0.0456,-0.0822,-0.2483,0.27
0.352413,0.0156,-0.0810,-0.4348,0.44
0.359695,0.0944,-0.0646,-0.5525,0.56
0.367561,0.1482,-0.0842,-0.5643,0.59
0.383488,0.0626,-0.0440,-0.3901,0.40
0.391741,-0.0522,-0.0644,-0.2008,0.22
0.399624,-0.0877,-0.1126,-0.0361,0.15
0.407565,-0.0721,-0.1465,0.1025,0.19
0.423266,-0.0303,-0.1777,0.2869,0.34
0.433578,0.0043,-0.1636,0.2901,0.33
0.440701,0.0343,-0.1375,0.2017,0.25
0.448656,0.0541,-0.1114,0.0840,0.15
0.457960,0.0844,-0.0801,-0.0731,0.14
0.471719,0.0700,0.0053,-0.3313,0.34
0.484387,0.0197,0.0300,-0.4601,0.46
