# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2025-09-10 10:02:24.374
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009218,-0.2468,0.1774,0.1901,0.36
0.014782,-0.2382,0.2535,0.0543,0.35
0.028943,-0.0419,0.0823,-0.2944,0.31
0.040889,0.0183,0.0020,-0.3976,0.40
0.045751,0.0326,-0.0301,-0.4344,0.44
0.053250,0.0478,-0.0794,-0.4094,0.42
0.061886,0.0852,-0.1131,-0.3775,0.40
0.076455,0.1209,-0.1116,-0.2757,0.32
0.089759,0.1008,-0.1112,-0.2654,0.30
0.095744,0.0824,-0.0898,-0.2717,0.30
0.103884,0.0224,-0.0664,-0.3091,0.32
0.112630,-0.0504,-0.0551,-0.3321,0.34
0.120905,-0.0715,-0.0101,-0.3504,0.36
0.134122,-0.0923,-0.0222,-0.2707,0.29
0.149111,-0.0796,-0.0268,-0.2325,0.25
0.158162,-0.0496,-0.0474,-0.1969,0.21
0.164979,0.0051,-0.0406,-0.1592,0.16
0.175546,0.0413,-0.0498,-0.1569,0.17
0.181217,0.0627,-0.0374,-0.1307,0.15
0.193009,0.0767,-0.0636,-0.1260,0.16
0.205227,0.0718,-0.0562,-0.1189,0.15
0.212958,0.0696,-0.0319,-0.1333,0.15
0.220575,0.0387,-0.0075,-0.1478,0.15
0.237025,-0.0111,-0.0221,-0.1341,0.14
0.247360,-0.0062,-0.0140,-0.1056,0.11
0.254109,0.0057,-0.0205,-0.1249,0.13
0.262457,0.0024,-0.0083,-0.1059,0.11
0.276552,-0.0200,-0.0007,-0.0798,0.08
0.286932,-0.0238,-0.0052,-0.0441,0.05
0.294599,0.0185,-0.0478,0.0061,0.05
0.302564,0.0490,-0.0330,0.0394,0.07
0.313164,0.0423,-0.0352,0.1064,0.12
0.321308,0.0056,-0.0473,0.1377,0.15
0.332387,-0.0066,-0.0688,0.1146,0.13
0.340714,-0.0123,-0.0874,0.0817,0.12
0.356703,-0.0008,-0.0723,0.0062,0.07
0.364652,-0.0074,-0.0527,-0.0268,0.06
0.372566,-0.0168,-0.0502,-0.0406,0.07
